,class,ip
0,class0,52.223.195.96
1,class0,52.223.195.36
2,class0,52.223.195.241
3,class0,185.42.205.193
4,class0,52.223.195.215
5,class0,52.223.195.83
6,class0,52.223.195.248
7,class0,52.223.195.155
8,class0,52.223.195.191
9,class0,185.42.205.201
10,class0,52.223.195.99
11,class0,52.223.195.217
12,class0,52.223.195.230
13,class0,52.223.195.69
14,class0,52.223.195.112
15,class0,52.223.195.197
16,class0,52.223.195.252
17,class5,99.181.64.208
18,class0,52.223.195.27
19,class0,52.223.195.42
20,class0,52.223.195.32
21,class0,52.223.195.29
22,class0,185.42.205.202
23,class0,52.223.195.82
24,class0,52.223.195.122
25,class3,185.42.206.102
26,class0,52.223.195.64
27,class0,185.42.205.177
28,class2,185.42.206.25
29,class0,52.223.195.75
30,class0,52.223.195.120
31,class0,52.223.195.89
32,class0,52.223.195.152
33,class0,52.223.195.229
34,class0,52.223.195.74
35,class0,52.223.195.154
36,class0,185.42.204.244
37,class0,52.223.195.106
38,class0,185.42.204.229
39,class0,52.223.195.142
40,class2,185.42.207.168
41,class0,185.42.205.192
42,class0,52.223.195.232
43,class0,52.223.195.195
44,class2,185.42.207.104
45,class2,52.223.200.11
46,class0,185.42.205.245
47,class2,52.223.200.23
48,class2,185.42.206.53
49,class2,185.42.206.43
50,class0,185.42.205.169
51,class0,185.42.205.178
52,class2,185.42.207.183
53,class0,185.42.205.176
54,class2,185.42.207.108
55,class0,185.42.205.198
56,class0,52.223.195.78
57,class2,185.42.207.169
58,class2,185.42.206.56
59,class2,185.42.207.118
60,class0,185.42.205.229
61,class2,185.42.207.100
62,class0,185.42.205.148
63,class2,185.42.206.54
64,class2,185.42.206.19
65,class0,52.223.195.175
66,class0,185.42.205.199
67,class0,185.42.205.173
68,class0,52.223.195.245
69,class2,185.42.207.177
70,class2,185.42.206.22
71,class2,52.223.200.16
72,class0,185.42.204.254
73,class0,185.42.205.242
74,class2,52.223.199.212
75,class2,185.42.207.125
76,class2,185.42.206.5
77,class0,52.223.197.172
78,class0,52.223.195.207
79,class0,52.223.195.150
80,class0,185.42.205.220
81,class0,185.42.205.186
82,class0,52.223.197.244
83,class0,52.223.195.198
84,class2,185.42.206.30
85,class2,185.42.207.103
86,class0,52.223.195.48
87,class0,52.223.195.81
88,class0,52.223.195.213
89,class0,52.223.195.141
90,class2,185.42.206.15
91,class0,185.42.204.214
92,class2,185.42.207.102
93,class2,185.42.207.117
94,class0,52.223.197.175
95,class0,185.42.205.181
96,class0,52.223.195.214
97,class0,52.223.195.59
98,class2,185.42.207.110
99,class2,185.42.206.45
100,class0,52.223.197.216
101,class0,52.223.195.147
102,class0,185.42.204.226
103,class0,185.42.205.182
104,class2,185.42.207.121
105,class0,52.223.195.133
106,class2,185.42.207.178
107,class0,185.42.205.216
108,class0,185.42.205.228
109,class2,185.42.206.11
110,class2,185.42.207.182
111,class0,185.42.205.248
112,class0,185.42.204.233
