,class,ip
0,class0,52.223.195.96
1,class1,52.223.195.36
2,class1,52.223.195.241
3,class1,185.42.205.193
4,class1,52.223.195.215
5,class0,52.223.195.83
6,class0,52.223.195.248
7,class0,52.223.195.155
8,class1,52.223.195.191
9,class0,185.42.205.201
10,class0,52.223.195.99
11,class0,52.223.195.217
12,class1,52.223.195.230
13,class0,52.223.195.69
14,class1,52.223.195.112
15,class1,52.223.195.197
16,class0,52.223.195.252
17,class1,99.181.64.208
18,class1,52.223.195.27
19,class1,52.223.195.42
20,class1,52.223.195.32
21,class1,52.223.195.29
22,class1,185.42.205.202
23,class1,52.223.195.82
24,class1,52.223.195.122
25,class0,185.42.206.102
26,class1,52.223.195.64
27,class0,185.42.205.177
28,class0,185.42.206.25
29,class0,52.223.195.75
30,class0,52.223.195.120
31,class1,52.223.195.89
32,class1,52.223.195.152
33,class1,52.223.195.229
34,class0,52.223.195.74
35,class1,52.223.195.154
36,class1,185.42.204.244
37,class0,52.223.195.106
38,class0,185.42.204.229
39,class0,52.223.195.142
40,class0,185.42.207.168
41,class0,185.42.205.192
42,class1,52.223.195.232
43,class0,52.223.195.195
44,class1,185.42.207.104
45,class1,52.223.200.11
46,class1,185.42.205.245
47,class0,52.223.200.23
48,class1,185.42.206.53
49,class0,185.42.206.43
50,class0,185.42.205.169
51,class0,185.42.205.178
52,class1,185.42.207.183
53,class1,185.42.205.176
54,class0,185.42.207.108
55,class0,185.42.205.198
56,class0,52.223.195.78
57,class0,185.42.207.169
58,class1,185.42.206.56
59,class1,185.42.207.118
60,class1,185.42.205.229
61,class1,185.42.207.100
62,class0,185.42.205.148
63,class0,185.42.206.54
64,class0,185.42.206.19
65,class1,52.223.195.175
66,class0,185.42.205.199
67,class1,185.42.205.173
68,class0,52.223.195.245
69,class1,185.42.207.177
70,class0,185.42.206.22
71,class0,52.223.200.16
72,class1,185.42.204.254
73,class0,185.42.205.242
74,class1,52.223.199.212
75,class1,185.42.207.125
76,class0,185.42.206.5
77,class0,52.223.197.172
78,class0,52.223.195.207
79,class1,52.223.195.150
80,class0,185.42.205.220
81,class1,185.42.205.186
82,class0,52.223.197.244
83,class0,52.223.195.198
84,class0,185.42.206.30
85,class0,185.42.207.103
86,class1,52.223.195.48
87,class0,52.223.195.81
88,class0,52.223.195.213
89,class1,52.223.195.141
90,class0,185.42.206.15
91,class0,185.42.204.214
92,class1,185.42.207.102
93,class1,185.42.207.117
94,class0,52.223.197.175
95,class0,185.42.205.181
96,class0,52.223.195.214
97,class1,52.223.195.59
98,class1,185.42.207.110
99,class1,185.42.206.45
100,class0,52.223.197.216
101,class0,52.223.195.147
102,class1,185.42.204.226
103,class0,185.42.205.182
104,class0,185.42.207.121
105,class1,52.223.195.133
106,class1,185.42.207.178
107,class1,185.42.205.216
108,class1,185.42.205.228
109,class0,185.42.206.11
110,class1,185.42.207.182
111,class1,185.42.205.248
112,class0,185.42.204.233
113,class0,185.42.205.195
114,class0,52.223.197.163
115,class1,185.42.205.142
116,class1,185.42.205.206
117,class0,52.223.195.92
118,class1,185.42.206.18
119,class0,52.223.195.51
120,class0,185.42.205.203
121,class1,52.223.195.107
122,class1,185.42.207.171
123,class1,185.42.206.7
124,class1,185.42.207.122
125,class1,185.42.205.159
126,class1,52.223.195.77
127,class1,185.42.204.225
128,class1,185.42.204.219
129,class0,52.223.197.249
130,class1,52.223.195.156
131,class0,185.42.206.23
132,class0,185.42.207.101
133,class0,185.42.206.57
134,class1,52.223.199.199
135,class1,52.223.195.181
136,class1,185.42.207.107
137,class0,52.223.197.233
138,class0,185.42.205.238
139,class1,185.42.205.174
140,class1,185.42.205.147
141,class0,185.42.205.230
142,class0,52.223.199.197
143,class1,185.42.205.139
144,class1,52.223.195.216
145,class1,185.42.205.207
146,class1,52.223.195.233
147,class1,185.42.205.234
148,class1,52.223.195.57
149,class1,52.223.195.71
150,class1,52.223.195.176
151,class1,52.223.195.127
152,class0,185.42.205.146
153,class1,185.42.205.150
154,class0,52.223.195.153
155,class1,185.42.205.179
156,class0,185.42.205.212
157,class1,185.42.207.170
158,class0,52.223.195.50
159,class1,185.42.204.248
160,class0,185.42.205.180
161,class1,185.42.205.187
162,class0,52.223.195.249
163,class0,185.42.204.203
164,class0,52.223.195.80
165,class1,185.42.204.234
166,class1,185.42.207.114
167,class1,52.223.195.234
168,class0,52.223.195.35
169,class0,52.223.195.21
170,class0,52.223.199.240
171,class1,185.42.205.197
172,class1,52.223.195.201
173,class1,185.42.204.249
174,class0,52.223.195.66
175,class0,52.223.197.177
176,class0,52.223.199.226
177,class0,185.42.205.211
178,class1,185.42.205.191
179,class0,52.223.195.178
180,class0,185.42.204.238
181,class0,52.223.195.4
182,class1,185.42.205.188
183,class1,185.42.204.251
184,class1,185.42.205.137
185,class1,52.223.195.67
186,class0,185.42.204.198
187,class0,52.223.195.157
188,class0,52.223.195.253
189,class1,52.223.195.172
190,class0,52.223.197.182
191,class0,185.42.205.237
192,class0,185.42.205.205
193,class0,52.223.195.170
194,class1,185.42.207.148
195,class0,185.42.205.172
196,class0,185.42.206.41
197,class1,185.42.205.166
198,class0,52.223.195.72
199,class1,185.42.205.210
200,class0,52.223.195.134
201,class1,185.42.205.162
202,class1,185.42.205.149
203,class0,52.223.197.171
204,class0,52.223.195.5
205,class1,52.223.195.158
206,class0,52.223.195.188
207,class0,52.223.195.111
208,class1,185.42.205.183
209,class0,52.223.195.135
210,class0,185.42.205.213
211,class1,52.223.200.71
