,n_cluster,label,S_Dbw
0,2,0,1.3614202112390716
1,2,1,1.323337722869103
2,2,2,1.9626540803178074
3,2,3,1.6677683391696272
4,2,4,1.3808689592076138
5,2,5,2.265507855434347
6,2,6,1.4027454380482018
7,2,7,1.3718328201409522
8,2,8,1.7445203238837177
9,2,9,1.745796876144154
10,2,10,1.8379634046470819
11,2,11,1.8950936578552424
12,2,12,1.3771100025194254
13,2,13,1.3634884307449129
14,2,14,2.019711093703567
15,2,15,1.9164008861469692
16,2,16,1.3633507215514746
17,2,17,1.9738052610778327
18,2,18,1.7122474883890204
19,2,19,1.6542864056867086
20,3,0,1.9190528739883095
21,3,1,2.1576711021728983
22,3,2,1.801737255016103
23,3,3,2.3305675969510053
24,3,4,2.281862820865778
25,3,5,1.9672980551621921
26,3,6,2.6280734586853383
27,3,7,2.1226495872287043
28,3,8,2.486351230179927
29,3,9,2.685034095878235
30,3,10,2.0752341470914453
31,3,11,2.367522137151966
32,3,12,1.8528026023250879
33,3,13,2.1854129618005036
34,3,14,1.9698961782547602
35,3,15,2.2060676871812515
36,3,16,2.0152224082300325
37,3,17,1.883226143940763
38,3,18,2.460575264206003
39,3,19,2.149774288248548
40,4,0,2.346035140310499
41,4,1,2.456910039143825
42,4,2,1.7635443760436083
43,4,3,2.189865532255958
44,4,4,2.033250047781708
45,4,5,2.443924931721519
46,4,6,2.518627192371898
47,4,7,1.771506836089674
48,4,8,2.134808576986437
49,4,9,2.026735158548612
50,4,10,2.3145432829425183
51,4,11,2.1928154014565577
52,4,12,2.6018661154965588
53,4,13,2.2389366298074966
54,4,14,1.820569792915466
55,4,15,2.6205488410391977
56,4,16,2.445170792486331
57,4,17,2.225266775436728
58,4,18,2.4567470295250966
59,4,19,2.050157546917749
60,5,0,1.9994463911009352
61,5,1,2.3382621648935906
62,5,2,1.8910615942099764
63,5,3,2.501866880671642
64,5,4,2.35991217811013
65,5,5,2.191652610927532
66,5,6,2.2178107736943593
67,5,7,2.4860947501114685
68,5,8,2.578598772277189
69,5,9,2.1510603445351464
70,5,10,1.8754371963317595
71,5,11,2.2294112553979324
72,5,12,2.536802236169942
73,5,13,1.9586904715597915
74,5,14,1.941393370761383
75,5,15,2.3696904820515696
76,5,16,2.573638827005401
77,5,17,2.5618673645656864
78,5,18,2.539368866227623
79,5,19,2.6080461733225038
80,6,0,1.8885948222318325
81,6,1,2.3409924503945927
82,6,2,1.9840196913497816
83,6,3,2.2416724781516373
84,6,4,2.4685662081827475
85,6,5,2.1968012658370295
86,6,6,2.28837221437882
87,6,7,2.122996386559037
88,6,8,2.0143496548782096
89,6,9,1.6939990009184533
90,6,10,1.6978144693057167
91,6,11,2.1108317903132168
92,6,12,1.7267479516204696
93,6,13,1.945531280546391
94,6,14,2.252701443365094
95,6,15,2.3486520806899627
96,6,16,2.2680613262233345
97,6,17,1.6454631690955264
98,6,18,2.236393587815677
99,6,19,2.1339009759559158
100,7,0,1.6001832551694775
101,7,1,1.8975508215031782
102,7,2,1.71942119180651
103,7,3,1.5532810094293956
104,7,4,1.55509299085661
105,7,5,1.6392520635861048
106,7,6,1.521947634164752
107,7,7,1.6193499174065922
108,7,8,2.205077493049447
109,7,9,1.4916717974478249
110,7,10,1.6565972628783747
111,7,11,1.745335877912205
112,7,12,1.898531337324608
113,7,13,1.760849753042842
114,7,14,1.6146420927460094
115,7,15,1.5503841054893206
116,7,16,1.7045029671586716
117,7,17,2.5093582248160473
118,7,18,1.4437761705752863
119,7,19,1.6448830323255046
120,8,0,1.7952431824578268
121,8,1,1.314194756811571
122,8,2,1.6515578801173887
123,8,3,1.7243475065992915
124,8,4,1.5071718818038335
125,8,5,1.7809097020161064
126,8,6,1.5293293468730593
127,8,7,1.63050416425261
128,8,8,1.6617947430114404
129,8,9,1.555441820684951
130,8,10,1.8412013744538118
131,8,11,1.5141364640722346
132,8,12,1.8089182995980153
133,8,13,1.3665462245009397
134,8,14,1.6609469001340966
135,8,15,1.9544803657953222
136,8,16,1.768484586694131
137,8,17,1.4715713628302245
138,8,18,1.4037349870844729
139,8,19,1.7969426973301537
