,n_cluster,label,S_Dbw
0,2,0,0.22530399188339353
1,2,1,0.22530399188339353
2,2,2,0.22530399188339353
3,2,3,0.22530399188339353
4,2,4,0.22530399188339353
5,2,5,0.22530399188339353
6,2,6,0.22530399188339353
7,2,7,0.22530399188339353
8,2,8,3.830196710239353
9,2,9,0.22530399188339353
10,3,0,0.11273689430624188
11,3,1,0.11273689430624188
12,3,2,0.17200912708341282
13,3,3,0.1127509674235919
14,3,4,0.11273689430624188
15,3,5,0.11273689430624188
16,3,6,0.17572008765325073
17,3,7,0.17572008765325073
18,3,8,0.11273689430624188
19,3,9,0.2926113122354256
20,4,0,0.1388231896857194
21,4,1,0.11685063441490912
22,4,2,0.10619515493395015
23,4,3,0.12947096933120067
24,4,4,0.11007092646578856
25,4,5,0.11439284841060329
26,4,6,0.14424578316514663
27,4,7,0.08577099436400878
28,4,8,0.10619543851700869
29,4,9,0.15479538989943792
30,5,0,0.07991889604655383
31,5,1,0.062277242384114744
32,5,2,0.150237544339755
33,5,3,0.1126466034202104
34,5,4,0.10415872855903105
35,5,5,0.0627535793396723
36,5,6,0.06264723741555722
37,5,7,0.0732558730167057
38,5,8,1.2232995518560015
39,5,9,0.08139458849095967
40,6,0,0.06387413074055531
41,6,1,0.08041410027162832
42,6,2,0.0872598281660324
43,6,3,0.09669382525697684
44,6,4,0.06992244332038716
45,6,5,0.0638781184982599
46,6,6,0.08261635577494757
47,6,7,0.04904325331583996
48,6,8,0.05743013744088608
49,6,9,0.06415858809659172
50,7,0,0.055322785571702754
51,7,1,0.04950776100405978
52,7,2,0.06290117616815555
53,7,3,0.049504974114564754
54,7,4,0.0495042124957062
55,7,5,0.041935549793665906
56,7,6,0.04304322225305529
57,7,7,0.08516553497335205
58,7,8,0.07183926737714158
59,7,9,0.07619341013023567
60,8,0,0.08640983313763304
61,8,1,0.034464611177233886
62,8,2,0.03547947295350924
63,8,3,0.051206047733183574
64,8,4,0.06337211634352115
65,8,5,0.05113586163735166
66,8,6,0.035479121032505785
67,8,7,0.06090896189585437
68,8,8,0.06681075406232391
69,8,9,0.05228776108415903
