,class,ip
0,class4,52.223.200.83
1,class4,52.223.200.45
2,class4,52.223.200.37
3,class4,52.223.200.71
4,class4,52.223.200.90
5,class4,52.223.200.80
6,class4,52.223.200.55
7,class4,52.223.200.88
8,class4,52.223.200.93
9,class4,52.223.200.115
10,class4,52.223.200.120
11,class4,52.223.200.126
12,class4,52.223.200.39
13,class4,52.223.200.122
14,class4,52.223.200.52
15,class4,52.223.200.36
16,class4,52.223.200.100
17,class3,185.42.207.172
18,class3,99.181.68.135
19,class1,52.223.195.232
20,class1,185.42.207.217
21,class1,99.181.68.145
22,class5,99.181.68.138
23,class5,99.181.68.172
24,class5,99.181.68.139
25,class0,99.181.64.218
26,class5,185.42.207.148
27,class1,52.223.195.181
28,class5,99.181.68.140
29,class5,99.181.68.146
30,class2,185.42.205.47
31,class0,52.223.195.52
32,class0,185.42.204.59
33,class2,185.42.205.64
34,class2,185.42.206.120
35,class2,99.181.65.26
36,class5,99.181.68.137
37,class3,185.42.207.178
38,class1,99.181.64.245
39,class2,52.223.195.99
40,class1,185.42.205.6
41,class0,185.42.207.121
42,class5,99.181.68.132
43,class3,99.181.64.136
44,class0,185.42.207.203
45,class3,185.42.207.118
46,class3,99.181.64.170
47,class5,185.42.204.122
48,class2,185.42.204.149
49,class0,185.42.207.242
50,class5,99.181.68.187
51,class3,185.42.204.15
52,class2,185.42.206.78
53,class0,185.42.204.36
54,class5,99.181.68.141
55,class5,99.181.68.160
56,class2,185.42.205.126
57,class2,185.42.205.77
58,class5,99.181.68.184
59,class2,52.223.195.70
60,class3,185.42.204.32
61,class2,185.42.204.164
62,class0,185.42.207.226
63,class2,99.181.64.167
64,class1,185.42.206.137
65,class2,185.42.205.101
66,class2,99.181.64.203
67,class1,52.223.195.85
68,class0,52.223.195.191
69,class1,99.181.64.226
70,class5,185.42.207.101
71,class0,185.42.206.249
72,class3,185.42.204.86
73,class2,185.42.206.183
74,class0,52.223.195.242
75,class2,185.42.204.119
76,class1,185.42.207.122
77,class3,185.42.204.146
78,class1,185.42.206.123
79,class0,52.223.195.151
80,class3,185.42.205.100
81,class1,99.181.64.236
82,class3,52.223.195.162
83,class3,185.42.205.53
84,class0,185.42.207.220
85,class2,99.181.64.228
86,class0,185.42.205.52
87,class0,52.223.195.132
88,class0,52.223.195.73
89,class0,99.181.65.51
90,class2,99.181.64.124
91,class0,185.42.206.114
92,class3,185.42.207.208
93,class0,185.42.204.70
94,class1,185.42.207.254
95,class1,52.223.195.230
96,class5,52.223.195.178
97,class0,185.42.204.66
98,class3,185.42.205.59
99,class0,185.42.204.111
100,class2,185.42.205.7
101,class0,185.42.206.181
102,class2,185.42.205.82
103,class2,52.223.195.234
