,n_cluster,label,S_Dbw
0,2,0,2.9863951719342627
1,2,1,2.8875685526501593
2,2,2,2.9904675251247395
3,2,3,2.965109981629784
4,2,4,2.9618006171457028
5,2,5,2.9624998823581383
6,2,6,2.977906420393576
7,2,7,2.9789563699519697
8,2,8,2.9994470065063377
9,2,9,2.9909912961997183
10,2,10,2.9876374561505807
11,2,11,2.999596626576004
12,2,12,2.979646604180611
13,2,13,2.9707876246859573
14,2,14,2.99919491532743
15,2,15,2.970941411535744
16,2,16,2.9701231921410347
17,2,17,2.9617872244755756
18,2,18,2.9403188993731435
19,2,19,2.990741622773495
20,3,0,2.949424667978712
21,3,1,2.984857585432793
22,3,2,2.961451990704383
23,3,3,2.9906013463271086
24,3,4,2.932590179684937
25,3,5,2.9656156015793553
26,3,6,2.9545743825338735
27,3,7,2.9800338336014542
28,3,8,2.9801685673282527
29,3,9,2.9942981366501678
30,3,10,2.9660661120789626
31,3,11,2.964924649258891
32,3,12,2.8819561871378108
33,3,13,2.9902836275095983
34,3,14,2.9512627772963156
35,3,15,2.9555997848962496
36,3,16,2.9760832279819125
37,3,17,2.9836015695857316
38,3,18,2.983491528599597
39,3,19,2.963256088845611
40,4,0,2.9656082813521403
41,4,1,2.949594185286001
42,4,2,2.9651263708831936
43,4,3,2.9831465244164495
44,4,4,2.974503349294883
45,4,5,2.912328678464936
46,4,6,2.8769746596080576
47,4,7,2.973802498690009
48,4,8,2.9102166157901337
49,4,9,2.9747009243626206
50,4,10,2.9821977574431484
51,4,11,2.910615970351034
52,4,12,2.9800056383908697
53,4,13,2.9763577299715225
54,4,14,2.9656910741221876
55,4,15,2.9744651156116024
56,4,16,2.9507199739364793
57,4,17,2.937694758729433
58,4,18,2.9254318093518012
59,4,19,2.9595549929077234
60,5,0,2.8792449687596227
61,5,1,2.9397177909211885
62,5,2,2.9759403920933183
63,5,3,2.941922737958805
64,5,4,2.97000750185207
65,5,5,2.9457218048643057
66,5,6,2.9733523499965817
67,5,7,2.9830874616684966
68,5,8,2.9739922636939933
69,5,9,2.9424378603584262
70,5,10,2.9315924268941265
71,5,11,2.9723135942648615
72,5,12,2.9542316220743037
73,5,13,2.91098128864151
74,5,14,2.9487210423315977
75,5,15,2.9294913693424567
76,5,16,2.951060479735316
77,5,17,2.9494775709863217
78,5,18,2.903719739405731
79,5,19,2.8963015140797506
80,6,0,2.9174336229704814
81,6,1,2.9073215175223774
82,6,2,2.9041197252636652
83,6,3,2.9499772818380907
84,6,4,2.8979495722244297
85,6,5,2.9589138829161947
86,6,6,2.9404071131629985
87,6,7,2.954780768275585
88,6,8,2.889240011660802
89,6,9,2.977754087445798
90,6,10,2.9127547799153106
91,6,11,2.9366820909409186
92,6,12,2.9067477785021483
93,6,13,2.8334742224077107
94,6,14,2.934739466329148
95,6,15,2.956409007336898
96,6,16,2.908113915207145
97,6,17,2.899651836725044
98,6,18,2.9511902352752184
99,6,19,2.972185810304075
100,7,0,2.889179786194637
101,7,1,2.900776317367652
102,7,2,2.9182202722123427
103,7,3,2.8646920048449425
104,7,4,2.89968243800196
105,7,5,2.9418649493996556
106,7,6,2.936250661000588
107,7,7,2.8948727995526182
108,7,8,2.9610497291974984
109,7,9,2.9627384247407824
110,7,10,2.9357615943038233
111,7,11,2.9861718262440577
112,7,12,2.893231594479736
113,7,13,2.8639101884811784
114,7,14,2.8634549579385284
115,7,15,2.9627143586046096
116,7,16,2.897547067140224
117,7,17,2.932793360616944
118,7,18,2.949607458469274
119,7,19,2.941215382794299
120,8,0,2.955926280128734
121,8,1,2.918994870181583
122,8,2,2.8979794648162818
123,8,3,2.966944943952235
124,8,4,2.9181105180438185
125,8,5,2.90560456044106
126,8,6,2.8918080772611345
127,8,7,2.8808388038579973
128,8,8,2.956651440531999
129,8,9,2.9380182725441473
130,8,10,2.915348701012042
131,8,11,2.9178374630908
132,8,12,2.880320625130369
133,8,13,2.8673646416464367
134,8,14,2.7918866125760733
135,8,15,2.896845214656438
136,8,16,2.863743439498965
137,8,17,2.875376151670248
138,8,18,2.916324516157869
139,8,19,2.8780777244393367
