,n_cluster,label,S_Dbw
0,2,0,0.31694420658949746
1,2,1,0.3169442065894974
2,2,2,0.3169442065894974
3,2,3,0.31694420658949757
4,2,4,0.3169442065894975
5,2,5,0.3169442065894975
6,2,6,0.31694420658949746
7,2,7,0.3169442065894974
8,2,8,0.3169442065894975
9,2,9,0.31694420658949746
10,3,0,0.26845306834906973
11,3,1,0.37455154433509624
12,3,2,0.15932081597431483
13,3,3,0.23519209321139878
14,3,4,0.2684530683490698
15,3,5,0.2684530683490698
16,3,6,0.41218608117735667
17,3,7,0.37447487661504797
18,3,8,0.1593939666471814
19,3,9,0.37455154433509624
20,4,0,0.15008930608670099
21,4,1,0.1546971253870692
22,4,2,0.272450972516552
23,4,3,0.15008930608670099
24,4,4,0.15947539225438914
25,4,5,0.22652075953283313
26,4,6,0.42709433552325543
27,4,7,0.3261959824118387
28,4,8,0.10603775347099269
29,4,9,0.12059965058443292
30,5,0,0.31886780450672075
31,5,1,0.08799243985955296
32,5,2,0.19413516129791525
33,5,3,0.1423321786623892
34,5,4,0.23858115169485578
35,5,5,0.10288478103999954
36,5,6,0.11050978288930524
37,5,7,0.09023119874853736
38,5,8,0.38253098322151635
39,5,9,0.31695884995958046
40,6,0,0.13046345205426874
41,6,1,0.284295039231727
42,6,2,0.12559944532966938
43,6,3,0.08324420073336146
44,6,4,0.09393969994871854
45,6,5,0.201532343024402
46,6,6,0.12941982990284706
47,6,7,0.17237611782671186
48,6,8,0.1510962921190365
49,6,9,0.10421128744302341
50,7,0,0.11849067078751821
51,7,1,0.09039355579920434
52,7,2,0.09295097738156746
53,7,3,0.18181942018845
54,7,4,0.14041434161161973
55,7,5,0.0670388401699074
56,7,6,0.09687892399837444
57,7,7,0.15514370468259173
58,7,8,0.10337665945387833
59,7,9,0.1257500970611595
60,8,0,0.08075806088082736
61,8,1,0.11508350241389037
62,8,2,0.08426083362628264
63,8,3,0.1354045588581308
64,8,4,0.054983528513260244
65,8,5,0.10012836030119063
66,8,6,0.12310556866920788
67,8,7,0.07945884752441433
68,8,8,0.1810521264749463
69,8,9,0.08719802974457976
