,class,ip
0,class0,185.42.206.251
1,class6,52.223.200.157
2,class3,185.42.206.203
3,class3,185.42.206.102
4,class2,185.42.206.169
5,class3,99.181.65.176
6,class2,185.42.206.113
7,class6,185.42.206.167
8,class1,185.42.206.172
9,class0,52.223.195.241
10,class3,185.42.206.249
11,class0,185.42.206.243
12,class1,52.223.195.99
13,class3,52.223.195.197
14,class3,185.42.206.111
15,class6,185.42.206.73
16,class5,185.42.206.173
17,class2,52.223.200.37
18,class7,52.223.195.249
19,class4,185.42.206.236
20,class4,185.42.206.238
21,class1,185.42.206.106
22,class6,52.223.195.195
23,class0,99.181.67.167
24,class4,185.42.204.146
25,class7,99.181.67.251
26,class1,185.42.206.183
27,class6,185.42.207.114
28,class0,185.42.206.142
29,class1,185.42.206.216
30,class4,99.181.65.186
31,class4,185.42.206.154
32,class0,185.42.206.69
33,class7,99.181.67.239
34,class2,185.42.206.245
35,class3,185.42.206.165
36,class0,185.42.206.159
37,class6,99.181.67.164
38,class7,185.42.206.141
39,class4,99.181.64.217
40,class6,99.181.64.86
41,class1,185.42.206.178
42,class7,185.42.207.190
43,class5,185.42.206.136
44,class7,185.42.206.145
45,class0,185.42.205.169
46,class5,185.42.206.140
47,class5,52.223.197.249
48,class7,99.181.64.197
49,class2,185.42.206.151
50,class6,185.42.204.144
51,class1,99.181.67.172
52,class6,185.42.206.149
53,class4,52.223.195.43
54,class4,185.42.204.6
55,class5,185.42.207.101
56,class4,185.42.206.242
57,class6,185.42.205.71
58,class0,99.181.65.177
59,class3,99.181.67.221
60,class5,185.42.207.200
61,class6,185.42.204.73
62,class2,185.42.205.234
63,class0,185.42.206.237
64,class0,99.181.65.217
65,class5,99.181.65.166
66,class3,185.42.206.72
67,class2,185.42.207.226
68,class6,185.42.207.205
69,class7,185.42.205.66
70,class7,99.181.64.93
71,class5,99.181.67.206
72,class2,185.42.206.123
73,class2,52.223.195.222
74,class7,99.181.65.5
75,class6,52.223.195.122
76,class2,99.181.67.161
77,class7,185.42.207.121
78,class3,185.42.204.249
79,class3,185.42.207.208
80,class1,99.181.65.150
81,class1,99.181.67.163
82,class0,185.42.205.87
83,class1,185.42.206.239
84,class1,99.181.67.250
85,class4,185.42.204.100
86,class3,185.42.205.39
87,class4,52.223.195.77
88,class0,99.181.65.26
89,class1,185.42.207.148
90,class3,52.223.200.93
91,class1,185.42.205.193
92,class4,99.181.66.38
93,class6,52.223.200.155
94,class4,185.42.207.125
95,class2,99.181.67.108
96,class5,52.223.200.39
97,class4,185.42.204.248
98,class0,52.223.195.75
99,class5,99.181.65.218
100,class4,99.181.67.147
101,class2,185.42.207.118
102,class7,52.223.200.71
103,class5,185.42.207.224
104,class5,185.42.204.70
105,class3,99.181.67.219
106,class1,185.42.204.77
107,class0,185.42.204.8
108,class2,185.42.207.218
109,class0,52.223.200.168
110,class7,99.181.65.230
111,class1,52.223.195.143
112,class7,185.42.204.28
113,class2,185.42.207.232
114,class2,52.223.195.178
115,class7,185.42.207.110
116,class0,99.181.67.171
117,class1,99.181.66.52
118,class3,185.42.205.195
119,class7,52.223.195.112
120,class2,99.181.66.202
121,class0,99.181.64.105
122,class3,99.181.64.12
123,class3,185.42.204.203
124,class5,52.223.195.252
125,class0,185.42.205.103
126,class1,185.42.205.46
127,class5,52.223.195.175
128,class4,52.223.195.70
129,class5,185.42.207.182
130,class2,185.42.206.79
131,class3,52.223.195.201
132,class6,185.42.205.19
133,class3,99.181.65.219
134,class2,185.42.205.213
135,class7,99.181.66.7
136,class5,52.223.195.27
137,class1,52.223.195.72
138,class6,52.223.195.234
139,class7,185.42.205.187
140,class6,185.42.205.51
141,class5,52.223.200.202
142,class6,185.42.204.122
143,class1,52.223.195.65
144,class7,185.42.204.67
145,class4,99.181.67.241
146,class1,99.181.67.205
147,class2,185.42.204.110
148,class5,52.223.195.60
149,class2,99.181.67.142
150,class4,185.42.204.183
151,class3,185.42.204.174
152,class2,185.42.207.220
153,class0,185.42.205.205
154,class7,52.223.200.52
155,class1,185.42.204.42
156,class5,185.42.205.11
157,class1,185.42.204.19
158,class2,99.181.66.54
159,class7,185.42.205.137
160,class1,99.181.65.187
161,class2,185.42.204.117
162,class1,99.181.67.160
163,class6,185.42.207.183
164,class3,52.223.200.139
165,class0,99.181.66.40
166,class0,185.42.204.99
167,class1,99.181.66.15
168,class1,52.223.195.55
169,class3,99.181.67.209
170,class6,185.42.207.177
171,class7,52.223.195.52
172,class5,52.223.195.207
173,class0,99.181.65.173
174,class2,52.223.200.164
175,class7,185.42.204.89
176,class2,52.223.195.141
177,class1,185.42.207.254
178,class5,185.42.205.146
179,class0,52.223.195.198
180,class5,185.42.205.202
181,class7,52.223.195.64
182,class7,99.181.66.47
183,class2,52.223.195.230
184,class4,185.42.204.153
185,class2,52.223.200.150
186,class7,99.181.66.9
187,class1,185.42.205.189
188,class4,185.42.207.215
189,class4,99.181.65.178
190,class6,52.223.195.81
191,class5,52.223.195.57
192,class0,52.223.195.29
193,class4,185.42.204.75
194,class1,99.181.66.6
195,class6,52.223.195.170
196,class1,99.181.64.11
197,class4,99.181.64.46
198,class7,52.223.195.35
199,class7,99.181.65.135
200,class4,185.42.205.248
201,class0,185.42.207.107
202,class6,185.42.207.92
203,class3,52.223.200.166
204,class6,99.181.65.216
205,class2,99.181.67.236
206,class5,99.181.65.207
207,class7,185.42.207.170
208,class4,185.42.205.216
209,class2,185.42.205.182
210,class3,185.42.205.212
211,class4,185.42.207.44
212,class0,52.223.195.233
213,class2,52.223.200.122
214,class7,99.181.64.45
215,class3,185.42.207.228
216,class2,52.223.195.217
217,class3,99.181.67.249
218,class7,185.42.205.97
219,class6,185.42.204.57
220,class6,52.223.200.45
221,class1,52.223.195.51
222,class6,185.42.205.37
223,class3,99.181.67.135
224,class6,99.181.66.5
225,class7,185.42.205.49
226,class3,185.42.204.10
227,class7,185.42.204.198
228,class4,185.42.205.45
229,class0,185.42.207.253
230,class3,99.181.64.50
231,class0,185.42.205.198
232,class0,99.181.65.233
233,class5,99.181.65.239
234,class1,99.181.65.212
235,class0,99.181.67.237
236,class6,99.181.65.198
237,class7,99.181.67.211
238,class5,52.223.195.50
239,class2,185.42.205.252
240,class4,99.181.67.240
241,class0,185.42.204.4
242,class4,99.181.66.4
243,class4,99.181.64.244
244,class6,99.181.67.213
245,class1,52.223.195.133
246,class5,52.223.195.82
247,class6,185.42.204.90
248,class4,185.42.207.108
249,class6,99.181.65.209
250,class7,99.181.67.217
251,class1,185.42.205.247
252,class5,185.42.204.169
253,class1,52.223.200.80
254,class1,52.223.195.67
255,class3,185.42.207.57
256,class5,52.223.200.142
257,class5,52.223.195.59
258,class5,99.181.65.196
259,class5,99.181.64.9
260,class5,52.223.195.204
261,class0,52.223.200.138
262,class4,185.42.205.230
263,class0,52.223.200.171
264,class3,99.181.65.185
265,class1,52.223.200.36
266,class0,99.181.67.183
267,class4,185.42.205.197
268,class3,185.42.205.178
269,class5,185.42.205.210
270,class3,99.181.67.119
271,class6,185.42.206.56
272,class1,52.223.195.118
273,class4,52.223.195.248
274,class6,52.223.195.48
275,class1,52.223.200.100
276,class1,185.42.205.207
277,class0,52.223.195.157
278,class0,185.42.205.176
279,class3,99.181.67.214
280,class4,185.42.204.102
281,class2,99.181.65.162
282,class0,185.42.204.45
283,class3,99.181.65.208
284,class1,99.181.66.48
285,class0,52.223.200.140
286,class2,185.42.204.47
