,n_cluster,label,S_Dbw
0,2,0,2.9706409628655304
1,2,1,2.975166606696947
2,2,2,2.9643849586305007
3,2,3,2.9976756976572103
4,2,4,2.960779766362444
5,2,5,2.997890720199467
6,2,6,2.9891866992157556
7,2,7,2.9977762376278774
8,2,8,2.961350692653774
9,2,9,2.9691909271575083
10,2,10,2.993531852193302
11,2,11,2.997851382456444
12,2,12,2.9546121512669243
13,2,13,2.9640886056481928
14,2,14,2.9935552357664945
15,2,15,2.959692208874838
16,2,16,2.9639652483066476
17,2,17,2.9978446403742733
18,2,18,2.9978523737287412
19,2,19,2.997897834633737
20,3,0,2.9912107890578827
21,3,1,2.9914090129888535
22,3,2,2.9933738876194114
23,3,3,2.973980453778514
24,3,4,2.9848288348000547
25,3,5,2.9584857049014914
26,3,6,2.9622661357188447
27,3,7,2.984794581579144
28,3,8,2.997858625630974
29,3,9,2.9976536313723106
30,3,10,2.9731907788192062
31,3,11,2.966768445423054
32,3,12,2.9594932239974012
33,3,13,2.9741660635065186
34,3,14,2.960855850816075
35,3,15,2.9568272241699414
36,3,16,2.991191957206417
37,3,17,2.9762481910208067
38,3,18,2.986967344662093
39,3,19,2.9596886988476316
40,4,0,2.9546129038433215
41,4,1,2.9806168061273755
42,4,2,2.9689149449707735
43,4,3,2.9776392295846357
44,4,4,2.9844468855210584
45,4,5,2.970318432970334
46,4,6,2.959780366975539
47,4,7,2.990526140484134
48,4,8,2.99025526930048
49,4,9,2.9665434083284046
50,4,10,2.994453077176017
51,4,11,2.9782923989090873
52,4,12,2.9815472322711223
53,4,13,2.974264006507996
54,4,14,2.962832955527096
55,4,15,2.966622760792767
56,4,16,2.979865984991892
57,4,17,2.9768044228427
58,4,18,2.979847486938034
59,4,19,2.994105904352039
60,5,0,2.967050002917431
61,5,1,2.975847462963949
62,5,2,2.9590006696419526
63,5,3,2.96826698204501
64,5,4,2.9595579028602685
65,5,5,2.95409200946032
66,5,6,2.968910164831471
67,5,7,2.9367137093442834
68,5,8,2.97421446029974
69,5,9,2.9855854570681757
70,5,10,2.968876835268752
71,5,11,2.98948606362368
72,5,12,2.9621908731477755
73,5,13,2.9628044296511282
74,5,14,2.9870013068706203
75,5,15,2.9682283892607018
76,5,16,2.9854948202296976
77,5,17,2.9632183781913515
78,5,18,2.9786213159925317
79,5,19,2.938960708103206
80,6,0,2.9493179670823126
81,6,1,2.978747391521208
82,6,2,2.979080722779148
83,6,3,2.96922626200609
84,6,4,2.932390201301514
85,6,5,2.9711949910898667
86,6,6,2.947796009014507
87,6,7,2.967690915941555
88,6,8,2.9737833284137136
89,6,9,2.9651750459188486
90,6,10,2.9693656640304655
91,6,11,2.959548096094322
92,6,12,2.974208612705023
93,6,13,2.9754218814084723
94,6,14,2.960516892929466
95,6,15,2.9412667572389415
96,6,16,2.9666147031678687
97,6,17,2.9687815700900004
98,6,18,2.954595438119979
99,6,19,2.9754477927653005
100,7,0,2.9614899126640806
101,7,1,2.9796462401324444
102,7,2,2.9583603869608757
103,7,3,2.945578104338809
104,7,4,2.97909726101847
105,7,5,2.9784131451538975
106,7,6,2.9696966669235776
107,7,7,2.9360186793175798
108,7,8,2.974658513012785
109,7,9,2.9729626455071307
110,7,10,2.959124736069059
111,7,11,2.958460451205111
112,7,12,2.954336248551435
113,7,13,2.9677078154959857
114,7,14,2.9761335675545544
115,7,15,2.963370773264099
116,7,16,2.9639708279528287
117,7,17,2.977502210017615
118,7,18,2.971949940522598
119,7,19,2.9562316128162056
120,8,0,2.966284733259013
121,8,1,2.9636258495284404
122,8,2,2.960046268365621
123,8,3,2.948814737864094
124,8,4,2.958362293017604
125,8,5,2.9719023891794567
126,8,6,2.947472733529076
127,8,7,2.943850774084268
128,8,8,2.973344056039705
129,8,9,2.937691930525742
130,8,10,2.960533853194774
131,8,11,2.953226728880535
132,8,12,2.965239935889814
133,8,13,2.9470908775793907
134,8,14,2.9367389302001286
135,8,15,2.95695731382416
136,8,16,2.9472448662603323
137,8,17,2.963117186981837
138,8,18,2.972042522510567
139,8,19,2.9575116775611114
