,n_cluster,label,S_Dbw
0,2,0,1.9295670778647693
1,2,1,1.9295670778647693
2,2,2,1.9295670778647693
3,2,3,0.874330275212142
4,2,4,0.874330275212142
5,2,5,0.874330275212142
6,2,6,0.874330275212142
7,2,7,2.2513733403197342
8,2,8,1.9295670778647693
9,2,9,2.341866856865477
10,3,0,0.4945485041261116
11,3,1,0.9580344686850079
12,3,2,0.9949159737658207
13,3,3,1.2253946317331117
14,3,4,0.4945485041261116
15,3,5,0.4945485041261116
16,3,6,0.9585224280735937
17,3,7,1.2364989391605272
18,3,8,0.4945485041261116
19,3,9,0.4945485041261116
20,4,0,0.4362990800153035
21,4,1,0.4027190394209017
22,4,2,0.8472893856743833
23,4,3,0.3319593496592423
24,4,4,0.4633557402412902
25,4,5,0.4803686773433552
26,4,6,0.9055512653398677
27,4,7,0.710241727055835
28,4,8,0.4800619225671985
29,4,9,0.7086991203256219
30,5,0,0.6517465984580135
31,5,1,0.6609831714143596
32,5,2,0.3158236117118311
33,5,3,0.5579761137507605
34,5,4,0.8406605319508755
35,5,5,0.6340318670468205
36,5,6,0.5118701507776082
37,5,7,0.5491093066344144
38,5,8,0.5639509418813539
39,5,9,0.2834160324003908
40,6,0,0.25522337235830916
41,6,1,0.3083989862218668
42,6,2,0.5181666022975224
43,6,3,0.3221877560001234
44,6,4,0.27853155363843385
45,6,5,0.30592578313696106
46,6,6,0.3393071453419917
47,6,7,0.26721565145470144
48,6,8,0.3379998236678017
49,6,9,0.5921894040181868
50,7,0,0.6821680814502322
51,7,1,0.27644786465363336
52,7,2,0.16179582900277356
53,7,3,0.23078267623226462
54,7,4,0.20694687865649034
55,7,5,0.23487574174700512
56,7,6,0.41246972697443585
57,7,7,0.18692103471170987
58,7,8,0.24879571265586603
59,7,9,0.2122852235086825
60,8,0,0.26326117547303995
61,8,1,0.34517127694989735
62,8,2,0.23367407138986315
63,8,3,0.1381391269517133
64,8,4,0.2106837132280472
65,8,5,0.2083681454975364
66,8,6,0.23728546545924206
67,8,7,0.14000096181771712
68,8,8,0.2119256570532873
69,8,9,0.08976087908379606
