,n_cluster,label,S_Dbw
0,2,0,2.363052577247699
1,2,1,2.2522032486671915
2,2,2,2.1400283426406705
3,2,3,2.4129702586422486
4,2,4,2.260199765272259
5,2,5,2.276160662622261
6,2,6,2.46408812967752
7,2,7,2.264141106407154
8,2,8,2.312620140637182
9,2,9,2.3895959048247755
10,2,10,2.3751571250538954
11,2,11,2.445381053731952
12,2,12,2.3394002842925183
13,2,13,2.4043133203384564
14,2,14,2.2978918602700245
15,2,15,2.3374387499199227
16,2,16,2.2760001652817556
17,2,17,2.5110092768599657
18,2,18,2.275690516442796
19,2,19,2.286440217234084
20,3,0,2.4071487092909933
21,3,1,2.393205095718616
22,3,2,2.326904229140155
23,3,3,2.4129484388540905
24,3,4,2.473416991140191
25,3,5,2.5201449475441002
26,3,6,2.460644866842959
27,3,7,2.5044109562563386
28,3,8,2.357483518588033
29,3,9,2.4062068384271855
30,3,10,2.499505402204538
31,3,11,2.457927949327339
32,3,12,2.438401671704863
33,3,13,2.6356882016599856
34,3,14,2.7487122041781387
35,3,15,2.3836057382528977
36,3,16,2.578219526195848
37,3,17,2.5114055181398616
38,3,18,2.371178353274938
39,3,19,2.371175766496036
40,4,0,2.5513227136059022
41,4,1,2.317412434045412
42,4,2,2.460647608032013
43,4,3,2.524761638423109
44,4,4,2.4761015370336104
45,4,5,2.5564904346631456
46,4,6,2.2974199666111628
47,4,7,2.5463497930339782
48,4,8,2.515731961212265
49,4,9,2.4829446971942986
50,4,10,2.501261014520419
51,4,11,2.49199554923522
52,4,12,1.774360445443988
53,4,13,2.35101484102418
54,4,14,2.5743727320284417
55,4,15,2.5124379058731754
56,4,16,2.539043487863877
57,4,17,2.6008678464627035
58,4,18,2.493756943104295
59,4,19,2.5943967201968086
60,5,0,2.5439581449225432
61,5,1,2.5650737920393887
62,5,2,1.7091843324800753
63,5,3,2.479282319444172
64,5,4,2.4701201440025997
65,5,5,2.5479087605010133
66,5,6,2.4958021573874607
67,5,7,2.377026984646831
68,5,8,2.504838663974667
69,5,9,1.8127093102169682
70,5,10,2.524658345679118
71,5,11,2.5045413280830586
72,5,12,2.502697092463175
73,5,13,2.450838099442793
74,5,14,2.4925660919063306
75,5,15,2.5064595107245395
76,5,16,2.5024723050116924
77,5,17,2.4994656002704096
78,5,18,2.5533443841380237
79,5,19,2.563537312119396
80,6,0,2.5462033974568348
81,6,1,2.5630866365237406
82,6,2,2.587520074913825
83,6,3,2.5458108532463823
84,6,4,2.5240003861254228
85,6,5,2.515986829258704
86,6,6,1.8826699617314597
87,6,7,2.5188909844354948
88,6,8,1.973555489807918
89,6,9,2.4433145267303455
90,6,10,2.486235204426116
91,6,11,2.550166251868548
92,6,12,2.3291019545564966
93,6,13,2.514221339681955
94,6,14,2.536054641433448
95,6,15,2.5321152069081143
96,6,16,2.551117757381471
97,6,17,2.5044505694642547
98,6,18,2.6077661647368027
99,6,19,2.381527407417755
100,7,0,2.6331570521482552
101,7,1,1.9112681499711683
102,7,2,2.5398413283170798
103,7,3,2.6133644402210496
104,7,4,2.479791528553039
105,7,5,2.607601962612917
106,7,6,2.6303376500323066
107,7,7,2.5724119831783248
108,7,8,2.66432281746947
109,7,9,2.562475671334573
110,7,10,2.5554434756618267
111,7,11,1.9666769365749028
112,7,12,2.665438783288474
113,7,13,2.5250414852254797
114,7,14,2.671327010563798
115,7,15,2.0259115692357925
116,7,16,2.593445289977895
117,7,17,2.563204077536077
118,7,18,2.537113704505539
119,7,19,2.5925576659873775
120,8,0,2.6084738385430857
121,8,1,2.5936070157753885
122,8,2,2.5122889705092053
123,8,3,2.7321584760026547
124,8,4,2.600925857827653
125,8,5,2.7109232207701535
126,8,6,2.5117041574919607
127,8,7,2.5942208381794494
128,8,8,2.6210801226188853
129,8,9,2.626476380161978
130,8,10,2.564285396222215
131,8,11,2.458781454581021
132,8,12,2.589910104713091
133,8,13,2.6597165754798784
134,8,14,2.490367273035959
135,8,15,2.5514648781103904
136,8,16,2.5543962338597415
137,8,17,2.6605137340595113
138,8,18,2.5690553356376205
139,8,19,2.557208144042675
