,class,ip
0,class5,52.223.228.27
1,class3,52.223.228.62
2,class5,52.223.228.95
3,class5,52.223.227.232
4,class3,52.223.228.106
5,class5,52.223.228.7
6,class5,52.223.228.107
7,class5,52.223.228.90
8,class5,52.223.228.102
9,class5,52.223.228.8
10,class5,52.223.228.13
11,class5,52.223.228.98
12,class5,52.223.227.214
13,class5,52.223.228.17
14,class5,52.223.228.85
15,class5,52.223.227.241
16,class5,52.223.228.89
17,class5,52.223.228.97
18,class5,52.223.228.99
19,class5,52.223.228.123
20,class5,52.223.228.10
21,class5,52.223.228.71
22,class5,52.223.228.110
23,class5,52.223.228.30
24,class5,52.223.228.9
25,class5,52.223.228.28
26,class5,52.223.228.125
27,class3,52.223.228.26
28,class5,52.223.228.19
29,class5,52.223.228.59
30,class5,99.181.96.118
31,class5,99.181.96.163
32,class5,99.181.96.189
33,class5,99.181.96.107
34,class5,99.181.96.156
35,class5,99.181.96.125
36,class5,99.181.96.111
37,class5,99.181.96.100
38,class5,99.181.96.112
39,class5,99.181.96.134
40,class1,52.223.226.70
41,class1,52.223.226.144
42,class1,52.223.226.96
43,class1,52.223.226.150
44,class0,99.181.97.36
45,class5,192.16.65.161
46,class0,99.181.97.79
47,class1,52.223.226.73
48,class7,52.223.244.221
49,class1,52.223.226.149
50,class1,52.223.226.101
51,class1,52.223.226.104
52,class0,99.181.97.142
53,class0,99.181.97.112
54,class0,99.181.97.178
55,class7,52.223.244.209
56,class7,52.223.244.79
57,class0,99.181.97.111
58,class1,52.223.226.126
59,class0,99.181.97.100
60,class7,52.223.244.172
61,class5,192.16.65.112
62,class5,52.223.227.173
63,class5,52.223.227.28
64,class0,99.181.97.133
65,class0,52.223.226.112
66,class0,99.181.97.110
67,class1,52.223.226.81
68,class5,192.16.65.137
69,class0,99.181.97.55
70,class5,192.16.65.6
71,class0,52.223.226.146
72,class5,52.223.227.169
73,class5,192.16.65.118
74,class1,52.223.226.78
75,class5,192.16.65.101
76,class1,99.181.97.45
77,class5,192.16.65.171
78,class1,52.223.226.69
79,class0,99.181.97.62
80,class1,52.223.226.107
81,class0,99.181.97.53
82,class1,52.223.226.141
83,class5,192.16.65.158
84,class5,52.223.227.71
85,class5,192.16.65.20
86,class1,52.223.226.94
87,class1,52.223.226.108
88,class5,52.223.227.106
89,class0,99.181.97.99
90,class7,52.223.226.234
91,class0,99.181.97.105
92,class1,52.223.226.140
93,class5,192.16.65.40
94,class0,99.181.97.113
95,class1,52.223.226.124
96,class0,99.181.97.170
97,class0,99.181.97.57
98,class5,192.16.65.174
99,class5,52.223.227.107
100,class0,99.181.97.68
101,class5,192.16.65.133
102,class7,52.223.226.74
103,class5,52.223.227.171
104,class0,99.181.97.176
105,class5,192.16.65.141
106,class7,52.223.244.254
107,class0,99.181.97.146
108,class1,52.223.226.76
109,class7,52.223.244.93
110,class0,99.181.97.155
111,class1,52.223.226.116
112,class0,99.181.97.60
113,class6,99.181.97.74
114,class0,99.181.97.106
115,class7,52.223.226.237
116,class5,192.16.65.179
117,class7,52.223.226.89
118,class0,99.181.97.134
119,class0,99.181.97.75
120,class7,52.223.244.248
121,class1,52.223.226.79
122,class1,52.223.226.117
123,class7,52.223.244.247
124,class0,99.181.97.109
125,class0,99.181.97.168
126,class0,99.181.97.132
127,class5,192.16.65.183
128,class0,99.181.97.98
129,class1,52.223.226.82
130,class1,52.223.226.99
131,class0,99.181.97.96
132,class0,99.181.97.147
133,class5,192.16.65.188
134,class5,52.223.227.50
135,class5,52.223.227.40
136,class5,52.223.227.32
137,class1,52.223.226.71
138,class0,99.181.97.102
139,class0,99.181.97.166
140,class5,52.223.227.86
141,class0,52.223.226.211
142,class5,52.223.227.177
143,class0,99.181.97.52
144,class0,99.181.97.54
145,class0,99.181.97.148
146,class5,192.16.65.187
147,class1,52.223.226.87
148,class7,52.223.226.77
149,class5,52.223.227.116
150,class5,192.16.65.173
151,class0,99.181.97.187
152,class5,192.16.65.153
153,class1,52.223.226.88
154,class5,192.16.65.41
155,class7,52.223.244.220
156,class5,52.223.227.161
157,class5,192.16.65.155
158,class0,99.181.97.175
159,class0,99.181.97.78
160,class7,52.223.244.251
161,class1,52.223.226.105
162,class0,99.181.97.181
163,class0,99.181.97.138
164,class1,52.223.226.100
165,class1,52.223.226.151
166,class0,99.181.97.140
167,class0,99.181.97.51
168,class5,52.223.227.77
169,class1,52.223.226.98
170,class7,52.223.226.92
171,class5,52.223.227.34
172,class5,52.223.227.157
173,class5,192.16.65.119
174,class5,52.223.227.114
175,class1,52.223.226.106
176,class5,52.223.227.179
177,class5,192.16.65.124
178,class5,52.223.227.54
179,class1,52.223.226.120
180,class0,52.223.226.75
181,class5,52.223.227.156
182,class5,192.16.65.114
183,class0,99.181.97.161
184,class0,99.181.97.143
185,class0,52.223.226.236
186,class1,52.223.226.158
187,class0,52.223.226.235
188,class0,99.181.97.56
189,class0,99.181.97.151
190,class7,52.223.244.174
191,class1,52.223.226.135
192,class1,99.181.97.160
193,class1,52.223.226.72
194,class0,99.181.97.174
195,class0,99.181.97.73
196,class1,52.223.226.85
197,class5,52.223.227.44
198,class5,192.16.65.144
199,class0,99.181.97.107
200,class1,52.223.226.139
201,class7,52.223.244.204
202,class0,99.181.97.124
203,class1,52.223.244.216
204,class1,52.223.226.86
205,class5,192.16.65.169
206,class1,52.223.226.91
207,class5,192.16.65.184
208,class5,52.223.227.21
209,class0,99.181.97.137
210,class0,99.181.97.183
211,class0,99.181.97.182
212,class5,192.16.65.152
213,class0,99.181.97.136
214,class0,99.181.97.70
215,class0,99.181.97.77
216,class1,52.223.226.103
217,class0,99.181.97.47
218,class5,52.223.227.78
219,class0,99.181.97.154
220,class0,99.181.97.40
221,class5,192.16.65.126
222,class0,99.181.97.97
223,class5,192.16.65.142
224,class5,192.16.65.132
225,class5,192.16.65.151
226,class1,52.223.226.83
227,class5,192.16.65.156
228,class0,99.181.97.101
229,class5,52.223.227.42
230,class5,192.16.65.31
231,class6,99.181.97.59
232,class5,192.16.65.138
233,class5,52.223.227.85
234,class5,52.223.227.186
235,class5,192.16.65.150
236,class5,192.16.65.140
237,class5,192.16.65.145
238,class0,99.181.97.145
239,class0,99.181.97.108
240,class0,99.181.97.188
241,class0,99.181.97.165
242,class5,52.223.227.119
243,class5,192.16.65.185
244,class5,192.16.65.104
245,class0,99.181.97.72
246,class0,99.181.97.69
247,class1,52.223.226.119
248,class0,99.181.97.169
249,class1,52.223.226.125
250,class1,99.181.97.125
251,class0,52.223.226.145
252,class5,192.16.65.162
253,class5,192.16.65.33
254,class0,99.181.97.149
255,class0,99.181.97.139
256,class0,99.181.97.71
257,class6,99.181.97.61
258,class1,52.223.226.121
259,class1,52.223.226.153
260,class0,99.181.97.103
261,class1,52.223.226.157
262,class1,52.223.226.229
263,class5,52.223.228.80
264,class5,192.16.65.53
265,class5,192.16.65.18
266,class5,192.16.65.22
267,class5,192.16.65.24
268,class5,192.16.65.57
269,class5,192.16.65.13
270,class5,192.16.65.11
271,class5,192.16.65.25
272,class5,192.16.65.17
273,class7,52.223.244.83
274,class5,192.16.65.56
275,class5,192.16.65.54
276,class5,192.16.65.12
277,class5,192.16.65.58
278,class5,192.16.65.9
279,class5,192.16.65.16
280,class7,52.223.244.240
281,class7,52.223.244.135
282,class7,52.223.244.133
283,class7,52.223.226.110
284,class1,52.223.226.109
285,class7,52.223.244.228
286,class7,52.223.244.131
287,class7,52.223.244.132
288,class1,52.223.226.84
289,class7,52.223.244.130
290,class7,52.223.244.241
291,class7,52.223.244.81
292,class7,52.223.244.137
293,class7,52.223.244.155
294,class7,52.223.244.242
295,class7,52.223.244.154
296,class7,52.223.244.236
297,class7,52.223.244.243
298,class1,52.223.244.245
299,class5,192.16.65.19
300,class7,52.223.244.82
301,class5,192.16.65.15
302,class7,52.223.244.80
303,class5,192.16.65.55
304,class5,192.16.65.14
305,class0,99.181.97.150
306,class1,52.223.226.115
307,class3,52.223.246.6
