,class,ip
0,class2,52.223.228.27
1,class2,52.223.228.62
2,class2,52.223.228.95
3,class2,52.223.227.232
4,class0,52.223.228.94
5,class0,52.223.228.118
6,class2,52.223.228.106
7,class2,52.223.228.7
8,class0,52.223.228.37
9,class0,52.223.228.93
10,class2,52.223.228.107
11,class2,52.223.228.90
12,class2,52.223.228.102
13,class0,52.223.228.122
14,class2,52.223.228.8
15,class2,52.223.228.13
16,class2,52.223.228.98
17,class2,52.223.227.214
18,class2,52.223.228.17
19,class2,52.223.228.85
20,class2,52.223.227.241
21,class2,52.223.228.89
22,class2,52.223.228.97
23,class2,52.223.228.99
24,class0,52.223.228.25
25,class2,52.223.228.123
26,class2,52.223.228.10
27,class2,52.223.228.71
28,class2,52.223.228.110
29,class0,52.223.227.243
30,class2,52.223.228.30
31,class2,52.223.228.9
32,class0,52.223.228.87
33,class2,52.223.228.28
34,class0,52.223.228.103
35,class0,52.223.228.52
36,class2,52.223.228.125
37,class2,52.223.228.26
38,class2,52.223.228.19
39,class2,52.223.228.59
40,class1,99.181.96.118
41,class1,99.181.96.163
42,class1,99.181.96.189
43,class1,99.181.96.107
44,class1,99.181.96.156
45,class1,99.181.96.125
46,class1,99.181.96.111
47,class1,99.181.96.100
48,class1,99.181.96.112
49,class1,99.181.96.134
50,class0,52.223.226.132
51,class0,52.223.244.186
52,class0,52.223.244.106
53,class0,52.223.226.70
54,class0,52.223.226.144
55,class0,52.223.226.96
56,class0,52.223.226.150
57,class0,52.223.226.155
58,class0,52.223.226.102
59,class0,99.181.97.36
60,class0,192.16.65.161
61,class0,99.181.97.79
62,class0,52.223.226.73
63,class0,52.223.244.221
64,class0,52.223.226.149
65,class0,52.223.226.101
66,class0,52.223.226.104
67,class0,99.181.97.142
68,class0,99.181.97.112
69,class0,99.181.97.178
70,class0,52.223.244.209
71,class0,52.223.244.79
72,class0,99.181.97.111
73,class0,52.223.226.126
74,class0,99.181.97.100
75,class0,192.16.65.168
76,class0,52.223.244.172
77,class0,192.16.65.112
78,class0,192.16.65.39
79,class0,52.223.227.173
80,class0,52.223.227.28
81,class0,192.16.65.149
82,class0,99.181.97.133
83,class0,52.223.226.112
84,class0,99.181.97.110
85,class0,52.223.226.81
86,class0,192.16.65.137
87,class0,52.223.244.136
88,class0,192.16.65.121
89,class0,52.223.244.38
90,class0,192.16.65.43
91,class0,99.181.97.55
92,class0,192.16.65.6
93,class0,52.223.226.146
94,class0,52.223.227.169
95,class0,52.223.244.187
96,class0,52.223.244.126
97,class0,192.16.65.118
98,class0,52.223.226.78
99,class0,192.16.65.101
100,class0,52.223.226.90
101,class0,99.181.97.45
102,class0,192.16.65.171
103,class0,52.223.226.69
104,class0,99.181.97.62
105,class0,52.223.226.107
106,class0,99.181.97.53
107,class0,52.223.226.141
108,class0,192.16.65.158
109,class0,52.223.227.71
110,class0,192.16.65.20
111,class0,52.223.226.94
112,class0,52.223.226.108
113,class0,52.223.227.106
114,class0,99.181.97.99
115,class0,52.223.226.234
116,class0,99.181.97.105
117,class0,52.223.244.178
118,class0,52.223.226.140
119,class0,192.16.65.40
120,class0,99.181.97.113
121,class0,52.223.226.124
122,class0,99.181.97.170
123,class0,99.181.97.57
124,class0,192.16.65.174
125,class0,52.223.227.107
126,class0,99.181.97.68
127,class0,192.16.65.163
128,class0,52.223.244.33
129,class0,192.16.65.133
130,class0,52.223.244.107
131,class0,52.223.244.230
132,class0,52.223.226.74
133,class0,52.223.244.117
134,class0,52.223.227.171
135,class0,99.181.97.176
136,class0,192.16.65.141
137,class0,52.223.244.254
138,class0,99.181.97.146
139,class0,52.223.226.76
140,class0,52.223.244.148
141,class0,52.223.244.93
142,class0,99.181.97.155
143,class0,52.223.226.116
144,class0,52.223.244.211
145,class0,99.181.97.60
146,class0,99.181.97.74
147,class0,99.181.97.106
148,class0,52.223.226.237
149,class0,192.16.65.179
150,class0,52.223.226.89
151,class0,99.181.97.134
152,class0,99.181.97.75
153,class0,52.223.244.248
154,class0,52.223.226.79
155,class0,52.223.226.117
156,class0,52.223.244.247
157,class0,52.223.244.138
158,class0,99.181.97.109
159,class0,99.181.97.168
160,class0,52.223.244.244
161,class0,52.223.244.208
162,class0,99.181.97.132
163,class0,192.16.65.183
164,class0,99.181.97.98
165,class0,52.223.226.82
166,class0,52.223.244.121
167,class0,52.223.244.168
168,class0,52.223.226.99
169,class0,99.181.97.96
170,class0,192.16.65.172
171,class0,99.181.97.147
172,class0,52.223.226.212
173,class0,192.16.65.188
174,class0,52.223.227.50
175,class0,192.16.65.23
176,class0,52.223.227.40
177,class0,52.223.227.32
178,class0,52.223.226.71
179,class0,99.181.97.102
180,class0,99.181.97.166
181,class0,192.16.65.182
182,class0,52.223.227.86
183,class0,52.223.244.109
184,class0,52.223.226.211
185,class0,52.223.244.120
186,class0,52.223.244.128
187,class0,52.223.227.177
188,class0,99.181.97.52
189,class0,99.181.97.54
190,class0,99.181.97.148
191,class0,192.16.65.187
192,class0,52.223.226.87
193,class0,52.223.226.77
194,class0,52.223.244.122
195,class0,52.223.227.116
196,class0,192.16.65.117
197,class0,192.16.65.173
198,class0,99.181.97.187
199,class0,192.16.65.153
200,class0,52.223.226.88
201,class0,192.16.65.41
202,class0,52.223.244.220
203,class0,52.223.227.161
204,class0,192.16.65.155
205,class0,99.181.97.175
206,class0,99.181.97.78
207,class0,52.223.244.251
208,class0,52.223.226.105
209,class0,99.181.97.181
210,class0,99.181.97.138
211,class0,52.223.226.100
212,class0,52.223.226.151
213,class0,52.223.244.103
214,class0,99.181.97.140
215,class0,99.181.97.51
216,class0,52.223.227.77
217,class0,52.223.226.98
218,class0,52.223.226.92
219,class0,52.223.227.34
220,class0,52.223.227.157
221,class0,192.16.65.119
222,class0,52.223.227.114
223,class0,52.223.226.106
224,class0,52.223.227.179
225,class0,192.16.65.124
226,class0,52.223.227.54
227,class0,52.223.226.120
228,class0,52.223.226.75
229,class0,52.223.244.253
230,class0,52.223.227.156
231,class0,192.16.65.114
232,class0,99.181.97.161
233,class0,99.181.97.143
234,class0,52.223.244.104
235,class0,52.223.244.36
236,class0,52.223.226.236
237,class0,52.223.226.158
238,class0,52.223.226.235
239,class0,99.181.97.56
240,class0,99.181.97.151
241,class0,52.223.244.174
242,class0,52.223.226.135
243,class0,99.181.97.160
244,class0,52.223.226.72
245,class0,99.181.97.174
246,class0,52.223.244.214
247,class0,99.181.97.73
248,class0,52.223.226.85
249,class0,52.223.227.44
250,class0,99.181.97.164
251,class0,52.223.244.160
252,class0,192.16.65.144
253,class0,52.223.244.181
254,class0,99.181.97.107
255,class0,52.223.226.139
256,class0,192.16.65.175
257,class0,52.223.244.204
258,class0,99.181.97.124
259,class0,52.223.244.216
260,class0,52.223.226.86
261,class0,192.16.65.169
262,class0,52.223.226.91
263,class0,192.16.65.184
264,class0,52.223.227.21
265,class0,99.181.97.137
266,class0,99.181.97.183
267,class0,99.181.97.182
268,class0,192.16.65.152
269,class0,99.181.97.118
270,class0,99.181.97.136
271,class0,99.181.97.70
272,class0,99.181.97.77
273,class0,52.223.226.103
274,class0,99.181.97.47
275,class0,52.223.227.78
276,class0,99.181.97.154
277,class0,192.16.65.147
278,class0,99.181.97.40
279,class0,192.16.65.126
280,class0,99.181.97.97
281,class0,192.16.65.142
282,class0,52.223.226.201
283,class0,192.16.65.28
284,class0,192.16.65.132
285,class0,192.16.65.151
286,class0,52.223.226.83
287,class0,192.16.65.100
288,class0,192.16.65.156
289,class0,99.181.97.101
290,class0,52.223.227.42
291,class0,192.16.65.31
292,class0,99.181.97.59
293,class0,192.16.65.138
294,class0,52.223.227.85
295,class0,52.223.227.186
296,class0,192.16.65.150
297,class0,192.16.65.140
298,class0,192.16.65.145
299,class0,99.181.97.145
300,class0,99.181.97.108
301,class0,99.181.97.188
302,class0,99.181.97.165
303,class0,52.223.227.119
304,class0,192.16.65.185
305,class0,192.16.65.104
306,class0,192.16.65.160
307,class0,192.16.65.139
308,class0,99.181.97.72
309,class0,99.181.97.69
310,class0,52.223.226.119
311,class0,192.16.65.116
312,class0,99.181.97.169
313,class0,52.223.226.125
314,class0,99.181.97.125
315,class0,192.16.65.37
316,class0,52.223.226.145
317,class0,192.16.65.162
318,class0,192.16.65.148
319,class0,192.16.65.33
320,class0,99.181.97.149
321,class0,99.181.97.139
322,class0,192.16.65.27
323,class0,99.181.97.71
324,class0,99.181.97.61
325,class0,52.223.226.121
326,class0,52.223.226.153
327,class0,99.181.97.103
328,class0,52.223.226.157
329,class0,52.223.247.95
330,class0,52.223.244.150
331,class0,52.223.226.229
332,class0,52.223.227.200
333,class2,52.223.228.80
334,class0,52.223.228.83
335,class0,192.16.65.53
336,class0,192.16.65.18
337,class0,192.16.65.22
338,class0,192.16.65.24
339,class0,192.16.65.57
340,class0,192.16.65.13
341,class0,192.16.65.11
342,class0,192.16.65.25
343,class0,192.16.65.17
344,class0,52.223.244.83
345,class0,192.16.65.56
346,class0,192.16.65.54
347,class0,192.16.65.12
348,class0,192.16.65.58
349,class0,192.16.65.9
350,class0,192.16.65.16
351,class0,52.223.244.240
352,class0,52.223.244.135
353,class0,52.223.244.133
354,class0,52.223.226.110
355,class0,52.223.226.109
356,class0,52.223.244.228
357,class0,52.223.244.131
358,class0,52.223.244.132
359,class0,52.223.226.84
360,class0,52.223.244.130
361,class0,52.223.244.241
362,class0,52.223.244.81
363,class0,52.223.244.137
364,class0,52.223.244.155
365,class0,52.223.244.242
366,class0,52.223.244.154
367,class0,52.223.244.236
368,class0,52.223.244.243
