,n_cluster,label,S_Dbw
0,2,0,2.0068406844279685
1,2,1,1.2718116665761032
2,2,2,2.6985373319048875
3,2,3,1.3043801142108884
4,2,4,1.315959534446835
5,2,5,0.5007265060797261
6,2,6,2.146867446308676
7,2,7,0.5007265060797262
8,2,8,1.333576861354768
9,2,9,2.4932046658053415
10,3,0,0.3739480425453323
11,3,1,1.3788466333709337
12,3,2,0.40285469772056287
13,3,3,1.9423282105368282
14,3,4,0.8493836101109989
15,3,5,2.4586852990008934
16,3,6,0.3721009492921338
17,3,7,2.49159304334838
18,3,8,0.37589687258331644
19,3,9,0.8616002731613378
20,4,0,1.3409850432208525
21,4,1,0.6963641238583889
22,4,2,1.4014339348755565
23,4,3,1.530058011917815
24,4,4,1.48189055084893
25,4,5,1.063564299468643
26,4,6,0.7044146049116871
27,4,7,1.424433158775466
28,4,8,1.3283596868096643
29,4,9,0.9122982773825338
30,5,0,1.1790601987977407
31,5,1,0.2507196712509936
32,5,2,1.0482482703340157
33,5,3,1.2731378097285295
34,5,4,0.25559449953199936
35,5,5,0.4336390600972908
36,5,6,0.3228878124713442
37,5,7,0.23884455699031854
38,5,8,0.20485798068427935
39,5,9,0.34571050782605695
40,6,0,0.24634865006627116
41,6,1,0.20441311499613712
42,6,2,0.3606863635617773
43,6,3,0.9457979678568034
44,6,4,0.20821385019075783
45,6,5,0.7640357152140015
46,6,6,0.6556388107378297
47,6,7,0.21956510882735908
48,6,8,0.90677230085458
49,6,9,0.9994051771653844
50,7,0,0.6969564715735541
51,7,1,0.20641736249313536
52,7,2,0.21704170814458829
53,7,3,0.7915291369647515
54,7,4,0.515229803275385
55,7,5,0.6474713906043794
56,7,6,0.8155693444250736
57,7,7,0.743614876165988
58,7,8,0.18291871272375484
59,7,9,0.7264853837775258
60,8,0,0.20824775957336025
61,8,1,0.7098221190595306
62,8,2,0.8562063714093752
63,8,3,0.8114842406802254
64,8,4,0.2593497234355232
65,8,5,0.6577196883111147
66,8,6,0.21399974071958372
67,8,7,0.17878809845101157
68,8,8,0.6981191639363495
69,8,9,0.2493491306438174
