,class,ip
0,class6,52.223.195.96
1,class6,52.223.195.36
2,class1,52.223.195.241
3,class0,185.42.205.193
4,class1,52.223.195.215
5,class1,52.223.195.83
6,class4,52.223.195.248
7,class5,52.223.195.155
8,class4,52.223.195.191
9,class4,185.42.205.201
10,class4,52.223.195.99
11,class0,52.223.195.217
12,class6,52.223.195.230
13,class0,52.223.195.69
14,class4,52.223.195.112
15,class4,52.223.195.197
16,class1,52.223.195.252
17,class5,99.181.64.208
18,class0,52.223.195.27
19,class5,52.223.195.42
20,class0,52.223.195.32
21,class6,52.223.195.29
22,class4,185.42.205.202
23,class3,52.223.195.82
24,class0,52.223.195.122
25,class4,185.42.206.102
26,class4,52.223.195.64
27,class0,185.42.205.177
28,class4,185.42.206.25
29,class1,52.223.195.75
30,class3,52.223.195.120
31,class3,52.223.195.89
32,class3,52.223.195.152
33,class4,52.223.195.229
34,class4,52.223.195.74
35,class0,52.223.195.154
36,class6,185.42.204.244
37,class1,52.223.195.106
38,class5,185.42.204.229
39,class2,52.223.195.142
40,class3,185.42.207.168
41,class3,185.42.205.192
42,class5,52.223.195.232
43,class1,52.223.195.195
44,class2,185.42.207.104
45,class0,52.223.200.11
46,class4,185.42.205.245
47,class4,52.223.200.23
48,class2,185.42.206.53
49,class4,185.42.206.43
50,class0,185.42.205.169
51,class5,185.42.205.178
52,class5,185.42.207.183
53,class0,185.42.205.176
54,class3,185.42.207.108
55,class3,185.42.205.198
56,class4,52.223.195.78
57,class1,185.42.207.169
58,class3,185.42.206.56
59,class0,185.42.207.118
60,class1,185.42.205.229
61,class4,185.42.207.100
62,class0,185.42.205.148
63,class4,185.42.206.54
64,class1,185.42.206.19
65,class6,52.223.195.175
66,class6,185.42.205.199
67,class0,185.42.205.173
68,class1,52.223.195.245
69,class5,185.42.207.177
70,class5,185.42.206.22
71,class4,52.223.200.16
72,class6,185.42.204.254
73,class4,185.42.205.242
74,class0,52.223.199.212
75,class3,185.42.207.125
76,class2,185.42.206.5
77,class3,52.223.197.172
78,class4,52.223.195.207
79,class5,52.223.195.150
80,class6,185.42.205.220
81,class5,185.42.205.186
82,class5,52.223.197.244
83,class3,52.223.195.198
84,class1,185.42.206.30
85,class2,185.42.207.103
86,class5,52.223.195.48
87,class4,52.223.195.81
88,class5,52.223.195.213
89,class6,52.223.195.141
90,class0,185.42.206.15
91,class1,185.42.204.214
92,class3,185.42.207.102
93,class0,185.42.207.117
94,class3,52.223.197.175
95,class3,185.42.205.181
96,class1,52.223.195.214
97,class0,52.223.195.59
98,class5,185.42.207.110
99,class3,185.42.206.45
100,class2,52.223.197.216
101,class1,52.223.195.147
102,class6,185.42.204.226
103,class5,185.42.205.182
104,class3,185.42.207.121
105,class2,52.223.195.133
106,class5,185.42.207.178
107,class6,185.42.205.216
108,class5,185.42.205.228
109,class0,185.42.206.11
110,class6,185.42.207.182
111,class6,185.42.205.248
112,class1,185.42.204.233
113,class5,185.42.205.195
114,class3,52.223.197.163
115,class3,185.42.205.142
116,class0,185.42.205.206
117,class2,52.223.195.92
118,class1,185.42.206.18
119,class5,52.223.195.51
120,class0,185.42.205.203
121,class0,52.223.195.107
122,class0,185.42.207.171
123,class2,185.42.206.7
124,class2,185.42.207.122
125,class6,185.42.205.159
126,class6,52.223.195.77
127,class1,185.42.204.225
128,class0,185.42.204.219
129,class4,52.223.197.249
130,class3,52.223.195.156
131,class0,185.42.206.23
132,class1,185.42.207.101
133,class2,185.42.206.57
134,class1,52.223.199.199
135,class3,52.223.195.181
136,class1,185.42.207.107
137,class1,52.223.197.233
138,class1,185.42.205.238
139,class2,185.42.205.174
140,class5,185.42.205.147
141,class4,185.42.205.230
142,class0,52.223.199.197
143,class6,185.42.205.139
144,class0,52.223.195.216
145,class6,185.42.205.207
146,class5,52.223.195.233
147,class5,185.42.205.234
148,class6,52.223.195.57
149,class0,52.223.195.71
150,class2,52.223.195.176
151,class1,52.223.195.127
152,class2,185.42.205.146
153,class1,185.42.205.150
154,class1,52.223.195.153
155,class4,185.42.205.179
156,class5,185.42.205.212
157,class5,185.42.207.170
158,class1,52.223.195.50
159,class2,185.42.204.248
160,class2,185.42.205.180
161,class5,185.42.205.187
162,class6,52.223.195.249
163,class2,185.42.204.203
164,class4,52.223.195.80
165,class4,185.42.204.234
166,class1,185.42.207.114
167,class5,52.223.195.234
168,class1,52.223.195.35
169,class3,52.223.195.21
170,class1,52.223.199.240
171,class3,185.42.205.197
172,class6,52.223.195.201
173,class5,185.42.204.249
174,class6,52.223.195.66
175,class6,52.223.197.177
176,class2,52.223.199.226
177,class0,185.42.205.211
178,class3,185.42.205.191
179,class3,52.223.195.178
180,class5,185.42.204.238
181,class2,52.223.195.4
182,class2,185.42.205.188
183,class1,185.42.204.251
184,class0,185.42.205.137
185,class2,52.223.195.67
186,class6,185.42.204.198
187,class1,52.223.195.157
188,class2,52.223.195.253
189,class3,52.223.195.172
190,class0,52.223.197.182
191,class3,185.42.205.237
192,class4,185.42.205.205
193,class6,52.223.195.170
194,class1,185.42.207.148
195,class2,185.42.205.172
196,class1,185.42.206.41
197,class0,185.42.205.166
198,class4,52.223.195.72
199,class2,185.42.205.210
200,class5,52.223.195.134
201,class4,185.42.205.162
202,class0,185.42.205.149
203,class4,52.223.197.171
204,class0,52.223.195.5
205,class2,52.223.195.158
206,class1,52.223.195.188
207,class1,52.223.195.111
208,class5,185.42.205.183
209,class1,52.223.195.135
210,class6,185.42.205.213
211,class6,52.223.200.71
212,class3,52.223.195.118
213,class4,185.42.205.240
214,class6,52.223.200.12
215,class5,185.42.205.190
216,class4,52.223.199.245
217,class6,52.223.199.200
218,class5,185.42.205.204
219,class6,52.223.200.28
220,class2,52.223.199.246
221,class0,52.223.200.13
222,class5,52.223.195.52
223,class2,52.223.200.14
224,class5,185.42.205.215
225,class6,52.223.199.252
226,class6,52.223.195.31
227,class5,52.223.195.55
228,class4,185.42.205.200
229,class2,185.42.205.168
230,class1,52.223.200.15
231,class3,52.223.200.25
232,class6,52.223.195.68
233,class6,52.223.199.205
234,class4,52.223.195.30
235,class6,52.223.197.157
236,class6,185.42.204.197
237,class0,185.42.207.190
238,class2,52.223.195.39
