,n_cluster,label,S_Dbw
0,2,0,1.66058225938866
1,2,1,1.999886865975716
2,2,2,2.1283226130577555
3,2,3,1.999660350039404
4,2,4,2.1660907116974286
5,2,5,2.1444541272222333
6,2,6,1.7322824427629961
7,2,7,1.9771176798784926
8,2,8,1.9967002803605585
9,2,9,1.9856880582983059
10,2,10,1.7966374593839254
11,2,11,1.9851216960502054
12,2,12,1.6786418667200331
13,2,13,1.9831237224276734
14,2,14,1.9998035403277885
15,2,15,1.5997994368694537
16,2,16,1.8331886914425723
17,2,17,1.4973065940597443
18,2,18,2.98299980515979
19,2,19,1.9998623048952147
20,3,0,2.1157663921220964
21,3,1,1.9906326559592715
22,3,2,1.7115863160266118
23,3,3,1.9128280945004095
24,3,4,2.0373472336849296
25,3,5,2.198307651156245
26,3,6,1.8858814799583885
27,3,7,2.0621386429034887
28,3,8,1.8632023490012481
29,3,9,1.3640208020611277
30,3,10,2.12861402506358
31,3,11,1.9501026430230968
32,3,12,1.9027006428381994
33,3,13,1.895643190418105
34,3,14,1.9026065724373102
35,3,15,1.839574713702147
36,3,16,2.082393898598162
37,3,17,1.761795541676844
38,3,18,2.1123639052298824
39,3,19,1.6861848662945151
40,4,0,2.219194297165402
41,4,1,1.7992255865288072
42,4,2,2.0488802890259437
43,4,3,1.6490329587520192
44,4,4,1.7538243235644533
45,4,5,1.8008319874496463
46,4,6,2.3125693974396784
47,4,7,2.6017361570815467
48,4,8,1.7421803582709776
49,4,9,1.8751997227707942
50,4,10,1.9902500462337767
51,4,11,1.9658257193905029
52,4,12,1.7587075189124277
53,4,13,2.1377910480986237
54,4,14,2.112725341730849
55,4,15,1.8752096682464225
56,4,16,1.9675314536849768
57,4,17,2.102208839371897
58,4,18,2.0127940502626505
59,4,19,1.6592402481148165
60,5,0,2.4224246162167073
61,5,1,2.0690418392276158
62,5,2,2.1086957300020237
63,5,3,1.8085556287033135
64,5,4,1.9364247598468571
65,5,5,2.01701060242386
66,5,6,1.9379413709545785
67,5,7,1.9205047916839986
68,5,8,2.014690063488524
69,5,9,1.8137483026069416
70,5,10,2.1441777643003266
71,5,11,1.8832985592944045
72,5,12,2.093314861154884
73,5,13,2.158463272256372
74,5,14,2.1038012502972805
75,5,15,1.949645401553971
76,5,16,1.9872161175695098
77,5,17,2.088437973444756
78,5,18,1.7508019150797396
79,5,19,1.6892393416303286
80,6,0,1.7100380387583103
81,6,1,2.022607989176122
82,6,2,1.8578935584471314
83,6,3,1.3207204448270535
84,6,4,2.2087159733943866
85,6,5,2.1893988649603573
86,6,6,1.831227184138313
87,6,7,2.1369461618154926
88,6,8,1.9845583702757914
89,6,9,1.8923904177647306
90,6,10,1.6613467376643678
91,6,11,2.24956333435874
92,6,12,1.840268678776557
93,6,13,1.7357887007777335
94,6,14,2.175848086168268
95,6,15,2.195652982562711
96,6,16,1.9135205844297674
97,6,17,1.6385651925902303
98,6,18,1.9957552471283009
99,6,19,2.027778469415753
100,7,0,1.7142516755913497
101,7,1,2.0359410347692957
102,7,2,1.6923252282711436
103,7,3,1.8929784285606193
104,7,4,1.9803255802809339
105,7,5,2.135784423855684
106,7,6,1.9627096148207261
107,7,7,1.9271358004353352
108,7,8,2.164006919400475
109,7,9,1.9042644108136475
110,7,10,2.0672017555958195
111,7,11,2.250401487095205
112,7,12,1.7779519084209583
113,7,13,1.9642126469472827
114,7,14,2.1063067636172916
115,7,15,1.682600537414489
116,7,16,1.7052572821867829
117,7,17,2.062265751414663
118,7,18,2.051531262273713
119,7,19,1.706893889886977
120,8,0,1.916530194053143
121,8,1,1.7445075826632588
122,8,2,2.0343395670326734
123,8,3,1.9126964973473037
124,8,4,1.917006116308023
125,8,5,1.8627081541817965
126,8,6,1.6611104505219632
127,8,7,1.877117905559388
128,8,8,1.9507164853447412
129,8,9,1.8444400060272343
130,8,10,1.62212408296939
131,8,11,1.8075792012812264
132,8,12,1.8742805593419534
133,8,13,2.026690813323578
134,8,14,2.0855079327275114
135,8,15,2.0040818740346715
136,8,16,1.415398522643477
137,8,17,1.638699874902254
138,8,18,1.7329396359506308
139,8,19,1.738097770415322
