,class,ip
0,class1,185.42.207.23
1,class1,185.42.207.14
2,class1,185.42.207.92
3,class1,185.42.207.57
4,class1,185.42.207.44
5,class1,185.42.207.59
6,class1,185.42.207.18
7,class5,185.42.204.32
8,class1,185.42.207.90
9,class1,185.42.207.27
10,class5,185.42.204.71
11,class1,185.42.207.58
12,class3,185.42.205.101
13,class5,99.181.65.13
14,class5,99.181.64.219
15,class3,185.42.205.54
16,class5,99.181.64.123
17,class5,99.181.64.164
18,class4,185.42.205.62
19,class5,185.42.204.49
20,class5,185.42.204.73
21,class4,185.42.204.164
22,class5,185.42.207.233
23,class4,185.42.205.75
24,class5,185.42.204.87
25,class5,99.181.65.50
26,class5,99.181.65.26
27,class5,185.42.204.95
28,class4,185.42.205.46
29,class5,185.42.207.238
30,class5,185.42.204.90
31,class4,185.42.206.234
32,class5,185.42.207.220
33,class3,185.42.206.173
34,class5,185.42.204.98
35,class5,185.42.204.111
36,class5,185.42.204.6
37,class4,185.42.204.183
38,class3,52.223.195.34
39,class3,52.223.195.67
40,class5,185.42.204.15
41,class5,185.42.204.7
42,class5,99.181.64.117
43,class5,185.42.204.43
44,class3,185.42.206.141
45,class5,99.181.64.160
46,class5,185.42.204.63
47,class5,99.181.64.203
48,class0,185.42.206.160
49,class3,185.42.207.168
50,class5,99.181.64.250
51,class4,185.42.207.122
52,class5,99.181.64.161
53,class5,99.181.64.218
54,class3,185.42.205.108
55,class4,185.42.204.143
56,class5,185.42.207.228
57,class5,99.181.64.226
58,class4,185.42.205.18
59,class4,185.42.207.165
60,class3,185.42.205.64
61,class0,52.223.195.132
62,class4,185.42.204.144
63,class5,99.181.64.208
64,class5,99.181.64.125
65,class3,52.223.195.64
66,class4,185.42.205.49
67,class5,99.181.64.213
68,class3,52.223.195.141
69,class5,99.181.65.12
70,class5,99.181.65.27
71,class3,185.42.207.114
72,class3,185.42.207.102
73,class5,185.42.207.197
74,class5,185.42.204.106
75,class5,185.42.204.76
76,class5,185.42.204.39
77,class5,185.42.204.85
78,class4,185.42.204.184
79,class5,185.42.204.23
80,class3,52.223.195.43
81,class4,185.42.205.11
82,class5,99.181.65.52
83,class5,99.181.64.138
84,class5,185.42.207.206
85,class5,185.42.204.62
86,class5,185.42.207.250
87,class5,185.42.207.246
88,class3,52.223.195.243
89,class4,185.42.205.120
90,class5,99.181.64.170
91,class5,185.42.204.118
92,class5,185.42.204.114
93,class5,185.42.204.37
94,class4,185.42.204.169
95,class3,185.42.205.45
96,class5,99.181.65.56
97,class3,52.223.195.216
98,class3,185.42.206.231
99,class4,185.42.205.47
100,class5,99.181.64.113
101,class5,99.181.65.55
102,class4,185.42.204.187
103,class0,52.223.195.98
104,class5,99.181.65.17
105,class3,52.223.195.234
106,class4,185.42.205.52
107,class5,185.42.204.120
108,class4,185.42.204.146
109,class5,185.42.204.40
110,class5,99.181.65.5
111,class4,185.42.205.58
112,class5,185.42.204.79
113,class5,185.42.207.252
114,class5,99.181.64.228
115,class4,185.42.205.116
116,class5,185.42.207.209
117,class5,99.181.65.24
118,class5,185.42.204.82
119,class3,52.223.195.105
120,class5,99.181.64.217
121,class3,52.223.195.115
122,class5,99.181.65.6
123,class3,185.42.206.120
124,class5,99.181.65.25
125,class5,99.181.65.29
126,class5,185.42.204.30
127,class4,99.181.65.59
128,class3,185.42.206.106
129,class3,52.223.195.35
130,class5,99.181.64.222
131,class5,185.42.207.205
132,class5,99.181.65.22
133,class5,185.42.207.203
134,class5,185.42.207.204
135,class4,185.42.205.9
136,class0,185.42.206.107
137,class0,185.42.206.105
138,class5,99.181.64.223
139,class4,185.42.207.171
140,class0,52.223.195.233
141,class5,99.181.64.253
142,class4,185.42.205.107
143,class5,99.181.65.51
144,class4,185.42.204.137
145,class3,185.42.206.170
146,class5,185.42.204.54
147,class4,185.42.205.37
148,class4,185.42.204.148
149,class4,185.42.207.148
150,class4,185.42.205.68
151,class0,185.42.206.69
152,class5,99.181.64.211
153,class5,185.42.207.221
154,class5,185.42.204.69
155,class5,185.42.204.117
156,class5,185.42.204.72
157,class5,185.42.204.112
158,class5,185.42.207.226
159,class5,185.42.207.247
160,class5,185.42.204.119
161,class5,185.42.207.196
162,class5,185.42.204.70
163,class5,185.42.207.244
164,class5,185.42.204.44
165,class5,185.42.204.31
166,class5,185.42.204.60
167,class5,185.42.204.94
168,class5,185.42.204.124
169,class5,185.42.204.65
170,class5,185.42.204.93
171,class5,185.42.207.214
172,class5,185.42.207.217
173,class5,185.42.204.66
174,class5,99.181.64.216
175,class4,185.42.205.34
176,class5,185.42.204.68
177,class5,99.181.64.244
178,class3,185.42.205.88
179,class3,185.42.207.190
180,class4,185.42.204.135
181,class4,185.42.205.56
182,class5,99.181.64.199
183,class5,185.42.204.25
184,class4,185.42.207.178
185,class4,185.42.205.42
186,class5,185.42.204.4
187,class5,99.181.65.49
188,class4,185.42.204.147
189,class5,185.42.204.11
190,class5,185.42.204.121
191,class4,185.42.205.126
192,class5,185.42.204.78
193,class4,185.42.207.170
194,class5,99.181.65.20
195,class5,185.42.204.104
196,class5,185.42.204.100
197,class5,185.42.204.110
198,class4,185.42.207.183
199,class5,99.181.64.196
200,class0,52.223.195.103
201,class3,185.42.206.166
202,class5,99.181.64.246
203,class3,185.42.205.89
204,class4,185.42.205.90
205,class3,52.223.195.27
206,class5,99.181.64.105
207,class3,185.42.206.142
208,class3,52.223.195.84
209,class5,99.181.65.53
210,class3,185.42.206.167
211,class4,185.42.205.93
212,class4,185.42.205.123
213,class5,99.181.64.121
214,class3,52.223.195.248
215,class4,185.42.206.223
216,class4,185.42.205.69
217,class4,185.42.205.41
218,class5,99.181.64.206
219,class3,52.223.195.65
220,class4,185.42.205.76
221,class5,99.181.64.245
222,class4,185.42.205.21
223,class5,99.181.65.23
224,class3,185.42.206.224
225,class4,185.42.207.111
226,class0,52.223.195.71
227,class5,99.181.64.207
228,class3,52.223.195.162
229,class3,52.223.195.52
230,class5,99.181.64.201
231,class4,185.42.205.61
232,class5,99.181.64.197
233,class5,99.181.64.108
234,class3,52.223.195.242
235,class3,185.42.204.168
236,class3,185.42.206.101
237,class5,99.181.64.236
238,class5,185.42.204.59
239,class5,185.42.204.108
240,class4,185.42.204.149
241,class3,52.223.195.33
242,class5,99.181.64.156
243,class3,185.42.206.243
244,class4,185.42.204.145
245,class3,52.223.195.165
246,class4,185.42.204.180
247,class4,185.42.207.117
248,class4,185.42.207.172
249,class5,185.42.204.16
250,class5,185.42.204.75
251,class5,185.42.207.249
252,class4,185.42.206.177
253,class5,185.42.204.122
254,class5,185.42.207.236
255,class4,185.42.205.31
256,class5,99.181.64.241
257,class4,185.42.206.113
258,class4,185.42.207.110
259,class4,185.42.206.250
260,class3,185.42.206.79
261,class5,99.181.65.60
262,class3,185.42.206.149
263,class5,185.42.204.42
264,class4,185.42.205.113
265,class5,185.42.204.86
266,class5,99.181.65.41
267,class4,185.42.205.7
268,class4,185.42.205.4
269,class3,185.42.206.100
270,class4,185.42.205.103
271,class3,52.223.195.120
272,class4,185.42.205.109
273,class5,185.42.207.231
274,class5,99.181.65.28
275,class3,185.42.206.206
276,class4,185.42.205.78
277,class5,185.42.207.229
278,class5,99.181.65.46
279,class5,185.42.207.241
280,class3,185.42.206.214
281,class5,185.42.204.13
282,class5,185.42.207.242
283,class4,185.42.205.70
284,class3,52.223.195.180
285,class3,185.42.206.159
286,class3,52.223.195.112
287,class4,185.42.205.74
288,class3,185.42.206.148
289,class5,99.181.65.16
290,class5,99.181.64.167
291,class5,185.42.204.116
292,class5,99.181.64.136
293,class3,185.42.206.185
294,class3,52.223.195.74
295,class4,185.42.205.72
296,class3,52.223.195.110
297,class4,185.42.207.101
298,class5,185.42.204.77
299,class5,99.181.64.163
300,class5,185.42.207.198
301,class5,185.42.204.48
302,class5,185.42.204.83
303,class5,185.42.204.107
304,class5,185.42.207.199
305,class4,185.42.205.94
306,class3,52.223.195.154
307,class4,185.42.205.84
308,class0,185.42.206.103
309,class3,52.223.195.126
310,class4,185.42.204.157
311,class3,185.42.206.154
312,class3,52.223.195.79
313,class4,185.42.205.111
314,class5,185.42.204.109
315,class3,52.223.195.70
316,class3,52.223.195.94
317,class3,185.42.207.175
318,class5,99.181.64.210
319,class5,99.181.64.116
320,class5,185.42.204.126
321,class3,52.223.195.151
322,class5,99.181.65.30
323,class5,185.42.204.22
324,class5,99.181.65.18
325,class5,99.181.64.251
326,class3,52.223.195.230
327,class5,185.42.204.41
328,class3,185.42.205.51
329,class3,52.223.195.238
330,class4,185.42.207.182
331,class4,185.42.205.117
332,class5,99.181.65.31
333,class3,185.42.207.107
334,class5,185.42.204.36
335,class4,185.42.204.152
336,class3,52.223.195.232
337,class5,185.42.204.99
338,class3,185.42.206.114
339,class0,52.223.195.218
340,class4,185.42.206.192
341,class4,52.223.195.133
342,class3,185.42.205.67
343,class4,185.42.205.100
344,class3,52.223.195.13
345,class3,52.223.195.118
346,class3,52.223.195.170
347,class4,185.42.205.115
348,class3,52.223.195.56
349,class5,185.42.204.20
350,class3,52.223.195.21
351,class4,185.42.204.153
352,class4,185.42.205.26
353,class3,52.223.195.6
354,class4,185.42.205.53
355,class3,52.223.195.240
356,class3,52.223.195.49
357,class5,185.42.207.254
358,class4,185.42.205.48
359,class3,185.42.207.118
360,class4,185.42.207.169
361,class3,185.42.205.110
362,class5,99.181.64.135
363,class4,185.42.207.121
364,class3,185.42.206.111
365,class4,185.42.205.91
366,class5,99.181.64.133
367,class4,185.42.205.83
368,class3,52.223.195.61
369,class4,185.42.206.123
370,class3,52.223.195.123
371,class3,185.42.206.171
372,class4,185.42.205.96
373,class3,52.223.195.130
374,class0,185.42.206.210
375,class0,185.42.206.72
376,class3,52.223.195.167
377,class3,52.223.195.247
378,class4,185.42.205.86
379,class3,52.223.195.8
380,class3,185.42.205.114
381,class3,185.42.206.102
382,class3,185.42.206.184
383,class3,52.223.195.250
384,class4,185.42.206.219
385,class5,99.181.65.61
386,class4,185.42.204.140
387,class4,185.42.207.103
388,class4,185.42.205.5
389,class4,185.42.204.174
390,class3,185.42.206.172
391,class5,99.181.64.124
392,class3,185.42.206.237
393,class3,185.42.206.236
394,class3,52.223.195.139
395,class4,185.42.205.66
396,class3,52.223.195.85
397,class3,52.223.195.82
398,class4,185.42.207.105
399,class4,185.42.205.43
400,class4,185.42.205.73
401,class5,185.42.204.89
402,class5,99.181.64.109
403,class5,185.42.207.208
404,class5,99.181.65.35
405,class4,185.42.205.50
406,class3,52.223.195.11
407,class5,99.181.64.214
408,class0,52.223.195.229
409,class0,52.223.195.166
410,class4,185.42.205.30
411,class4,185.42.205.59
412,class3,52.223.195.164
413,class3,185.42.206.76
414,class3,52.223.195.241
415,class4,185.42.206.251
416,class5,99.181.64.221
417,class3,52.223.195.72
418,class3,52.223.195.155
419,class0,52.223.195.195
420,class5,99.181.64.119
421,class3,185.42.206.225
422,class4,185.42.204.185
423,class3,52.223.195.227
424,class3,185.42.206.73
425,class4,185.42.205.79
426,class4,185.42.205.65
427,class3,185.42.206.162
428,class5,185.42.204.55
429,class4,185.42.205.36
430,class3,52.223.195.93
431,class3,185.42.206.248
432,class4,185.42.205.119
433,class4,185.42.205.22
434,class3,52.223.195.26
435,class5,185.42.207.243
436,class3,185.42.206.238
437,class3,185.42.206.245
438,class4,185.42.205.121
439,class5,99.181.64.209
440,class5,185.42.204.125
441,class3,52.223.195.99
442,class4,185.42.205.24
443,class5,99.181.64.237
444,class4,185.42.205.6
445,class3,52.223.195.87
446,class4,185.42.205.38
447,class3,185.42.206.217
448,class3,185.42.206.194
449,class4,185.42.205.82
450,class3,185.42.206.145
451,class3,185.42.206.71
452,class0,52.223.195.239
453,class0,185.42.206.47
454,class0,185.42.206.83
455,class3,185.42.206.249
456,class3,52.223.195.235
457,class5,99.181.64.247
458,class4,185.42.205.19
459,class3,185.42.206.137
460,class0,185.42.205.204
461,class3,185.42.206.183
462,class4,185.42.205.71
463,class5,99.181.64.169
464,class3,52.223.195.90
465,class4,185.42.205.105
466,class2,185.42.206.14
467,class4,185.42.205.63
468,class3,185.42.206.151
469,class0,185.42.205.174
470,class2,52.223.197.78
471,class3,185.42.206.175
472,class0,185.42.205.216
473,class2,52.223.197.162
474,class0,185.42.206.22
475,class3,185.42.204.139
476,class0,185.42.206.254
