,n_cluster,label,S_Dbw
0,2,0,0.16411182382986134
1,2,1,0.16411182382986134
2,2,2,0.16411182382986134
3,2,3,0.16411182382986134
4,2,4,0.16411182382986134
5,2,5,0.16411182382986134
6,2,6,0.16411182382986134
7,2,7,0.16411182382986134
8,2,8,0.16411182382986134
9,2,9,0.16411182382986134
10,3,0,0.15577567995189273
11,3,1,0.08208575208154077
12,3,2,0.15577567995189273
13,3,3,0.15577567995189273
14,3,4,0.0820894354811198
15,3,5,0.08208575208154077
16,3,6,0.0820894354811198
17,3,7,0.2604413302684883
18,3,8,0.08208575208154077
19,3,9,0.08208575208154077
20,4,0,0.1121063532462857
21,4,1,0.15473151795304724
22,4,2,0.09085627975342037
23,4,3,0.07658879558669762
24,4,4,0.07595378858841556
25,4,5,0.11612757859339257
26,4,6,0.16173493327787575
27,4,7,0.07060725866000374
28,4,8,0.16173493327787575
29,4,9,0.0864785158588949
30,5,0,0.10104730194391885
31,5,1,0.0928298446110479
32,5,2,0.06390617707032936
33,5,3,0.07547150308949269
34,5,4,0.06009780875119296
35,5,5,0.04676350366731225
36,5,6,0.07547150308949269
37,5,7,0.10104730194391885
38,5,8,0.0600977820149287
39,5,9,0.060098895175408645
40,6,0,0.09950344961281551
41,6,1,0.039188574321693
42,6,2,0.05823582342845321
43,6,3,0.06314584693261246
44,6,4,0.058235823428453216
45,6,5,0.032837279629092664
46,6,6,0.07283461562424584
47,6,7,0.04793256244984144
48,6,8,0.05335368713580885
49,6,9,0.05335343759253472
50,7,0,0.07136332091406528
51,7,1,0.042018304537865425
52,7,2,0.03190063360973781
53,7,3,0.042018304537865425
54,7,4,0.045051968413330916
55,7,5,0.045682029051358465
56,7,6,0.0319006336097378
57,7,7,0.042018304537865425
58,7,8,0.10551442113793452
59,7,9,0.07137491070616385
60,8,0,0.06563895762376658
61,8,1,0.0910531316097942
62,8,2,0.03444444147482437
63,8,3,0.023457769702071765
64,8,4,0.043239713769873386
65,8,5,0.03444453414623221
66,8,6,0.036443356818973746
67,8,7,0.03444444147482437
68,8,8,0.045276009640182316
69,8,9,0.036443356818973746
