,n_cluster,label,S_Dbw
0,2,0,0.3246029766220228
1,2,1,0.3246029766220228
2,2,2,0.3246029766220228
3,2,3,0.3246029766220228
4,2,4,0.3246029766220228
5,2,5,0.3246029766220228
6,2,6,0.3246029766220228
7,2,7,0.3246029766220228
8,2,8,0.3246029766220228
9,2,9,0.3246029766220228
10,3,0,0.22536863486212524
11,3,1,0.18561723630044316
12,3,2,0.16353140835888158
13,3,3,0.370715667159054
14,3,4,0.4812147857160445
15,3,5,0.27845176475630246
16,3,6,0.16904928852253498
17,3,7,0.370715667159054
18,3,8,0.29350750200387044
19,3,9,0.16265744443222707
20,4,0,0.17038467753941183
21,4,1,0.2638470391940344
22,4,2,0.4520358734427292
23,4,3,0.2658438070808247
24,4,4,0.32990798367259266
25,4,5,0.1703846775394119
26,4,6,0.27418600814118727
27,4,7,0.18375851231429768
28,4,8,0.20425093593229265
29,4,9,0.20936114728888375
30,5,0,0.2260463385180907
31,5,1,0.199989569189817
32,5,2,0.1470475464404953
33,5,3,0.1730170444224263
34,5,4,0.16970491698539672
35,5,5,0.15319424723459946
36,5,6,0.26011634551107754
37,5,7,0.21687765890771624
38,5,8,0.08585007356286786
39,5,9,0.26119556101284
40,6,0,0.194721537241675
41,6,1,0.07866378835999195
42,6,2,0.07395569002839292
43,6,3,0.12559240892747586
44,6,4,0.13845180403222607
45,6,5,0.11298600634580902
46,6,6,0.15973077901925842
47,6,7,0.07421287347589953
48,6,8,0.10660343053448404
49,6,9,0.07421287347589953
50,7,0,0.10065789392472649
51,7,1,0.16714526730231868
52,7,2,0.1210850503156614
53,7,3,0.1760414557820149
54,7,4,0.10534406822032978
55,7,5,0.06980857735715006
56,7,6,0.11429643994077049
57,7,7,0.06397942754502349
58,7,8,0.08815452887083824
59,7,9,0.10499204473911983
60,8,0,0.10995182055700321
61,8,1,0.13906230961473356
62,8,2,0.15009872598763638
63,8,3,0.11261647542982992
64,8,4,0.14198162582511073
65,8,5,0.09958796401408151
66,8,6,0.08807200423376382
67,8,7,0.09193847293383962
68,8,8,0.10538885170877499
69,8,9,0.08588837826987736
