,class,ip
0,class1,185.42.206.251
1,class2,52.223.200.157
2,class2,185.42.206.203
3,class4,185.42.206.102
4,class4,185.42.206.169
5,class4,99.181.65.176
6,class4,185.42.206.113
7,class2,185.42.206.167
8,class3,185.42.206.172
9,class4,52.223.195.241
10,class2,185.42.206.249
11,class4,185.42.206.243
12,class0,52.223.195.99
13,class1,52.223.195.197
14,class0,52.223.195.152
15,class0,185.42.206.111
16,class2,185.42.206.73
17,class0,52.223.195.176
18,class3,185.42.205.240
19,class0,185.42.206.173
20,class3,52.223.200.37
21,class1,185.42.204.68
22,class4,52.223.195.249
23,class0,185.42.206.236
24,class4,185.42.206.238
25,class4,185.42.206.106
26,class4,52.223.195.195
27,class2,185.42.204.146
28,class3,185.42.206.183
29,class1,185.42.207.114
30,class2,185.42.207.117
31,class3,185.42.206.142
32,class1,99.181.66.215
33,class4,185.42.206.216
34,class4,185.42.206.154
35,class1,185.42.206.69
36,class2,99.181.67.239
37,class4,185.42.206.245
38,class0,185.42.206.165
39,class4,185.42.206.159
40,class0,185.42.206.141
41,class2,185.42.207.102
42,class2,185.42.206.178
43,class4,185.42.206.136
44,class1,185.42.207.250
45,class1,185.42.206.145
46,class2,185.42.204.101
47,class4,185.42.206.140
48,class1,52.223.197.249
49,class0,185.42.206.151
50,class3,99.181.65.240
51,class4,185.42.206.149
52,class2,52.223.195.43
53,class2,185.42.207.101
54,class0,185.42.206.242
55,class1,99.181.65.177
56,class2,185.42.207.200
57,class2,185.42.204.73
58,class4,185.42.205.234
59,class3,185.42.206.237
60,class4,99.181.65.217
61,class4,99.181.65.166
62,class1,185.42.206.72
63,class3,185.42.207.226
64,class4,52.223.195.74
65,class4,185.42.207.205
66,class1,185.42.205.66
67,class1,99.181.64.93
68,class2,99.181.67.206
69,class1,185.42.206.123
70,class4,52.223.195.222
71,class0,52.223.195.122
72,class1,185.42.207.169
73,class4,185.42.207.121
74,class2,185.42.204.249
75,class1,52.223.195.89
76,class3,185.42.207.208
77,class0,99.181.65.150
78,class4,99.181.67.163
79,class2,185.42.205.87
80,class1,185.42.206.239
81,class3,99.181.67.250
82,class3,185.42.204.100
83,class0,52.223.195.77
84,class3,185.42.207.148
85,class1,52.223.200.93
86,class2,52.223.200.155
87,class0,185.42.207.125
88,class2,99.181.67.108
89,class4,52.223.200.39
90,class3,185.42.204.248
91,class4,52.223.195.75
92,class3,99.181.65.218
93,class0,99.181.67.147
94,class2,185.42.207.118
95,class0,52.223.200.71
96,class3,99.181.66.186
97,class1,185.42.207.224
98,class3,185.42.204.70
99,class0,99.181.67.219
100,class1,185.42.207.247
101,class3,185.42.204.77
102,class2,52.223.200.168
103,class3,99.181.65.230
104,class2,185.42.207.232
105,class3,52.223.195.178
106,class0,185.42.207.110
107,class3,99.181.67.171
108,class3,99.181.66.52
109,class1,185.42.205.195
110,class4,52.223.195.112
111,class0,185.42.204.238
112,class0,185.42.204.203
113,class4,52.223.195.252
114,class4,185.42.205.103
115,class1,185.42.205.46
116,class0,52.223.195.175
117,class4,185.42.207.182
118,class4,185.42.206.79
119,class2,52.223.195.201
120,class3,185.42.205.19
121,class4,185.42.205.213
122,class2,52.223.195.27
123,class1,52.223.195.234
124,class1,185.42.205.187
125,class0,185.42.204.60
126,class0,52.223.195.65
127,class2,99.181.67.241
128,class0,52.223.195.78
129,class1,185.42.204.110
130,class0,185.42.206.15
131,class1,99.181.67.142
132,class1,185.42.204.174
133,class2,185.42.205.205
134,class4,52.223.200.52
135,class4,185.42.204.42
136,class3,185.42.205.11
137,class4,185.42.204.19
138,class0,99.181.66.54
139,class0,185.42.207.239
140,class1,185.42.205.137
141,class4,99.181.65.187
142,class2,52.223.195.66
143,class1,185.42.204.117
144,class2,52.223.195.68
145,class2,52.223.195.111
146,class3,185.42.207.183
147,class4,99.181.66.40
148,class0,99.181.66.15
149,class3,99.181.66.178
150,class1,52.223.195.55
151,class3,99.181.67.209
152,class1,185.42.207.177
153,class0,99.181.66.11
154,class0,52.223.195.207
155,class3,185.42.205.146
156,class3,52.223.195.198
157,class2,185.42.205.202
158,class0,52.223.195.64
159,class3,99.181.66.47
160,class2,185.42.204.153
161,class1,185.42.205.189
162,class0,52.223.195.81
163,class4,52.223.195.29
164,class0,185.42.204.75
165,class0,99.181.66.6
166,class4,52.223.195.170
167,class0,99.181.64.11
168,class4,99.181.64.46
169,class2,52.223.195.35
170,class1,99.181.65.135
171,class3,185.42.205.248
172,class1,185.42.207.92
173,class0,52.223.200.166
174,class3,99.181.65.216
175,class4,99.181.67.236
176,class2,99.181.65.207
177,class0,185.42.207.170
178,class1,185.42.205.212
179,class4,185.42.207.44
180,class1,52.223.195.233
181,class2,185.42.207.100
182,class0,52.223.200.122
183,class3,185.42.207.228
184,class2,52.223.195.181
185,class1,185.42.204.24
186,class3,185.42.204.125
187,class2,52.223.195.217
188,class2,99.181.67.249
189,class1,185.42.205.97
190,class2,185.42.204.107
191,class4,52.223.200.45
192,class1,52.223.195.36
193,class0,52.223.195.51
194,class2,185.42.205.37
195,class4,99.181.67.135
196,class1,99.181.66.5
197,class1,185.42.207.227
198,class0,52.223.195.39
199,class4,185.42.204.26
200,class2,185.42.204.198
201,class0,185.42.205.45
202,class2,185.42.207.253
203,class2,99.181.64.50
204,class2,185.42.205.198
205,class4,99.181.65.239
206,class3,99.181.65.212
207,class2,99.181.65.198
208,class3,99.181.67.211
209,class2,52.223.195.50
210,class0,185.42.205.252
211,class1,99.181.67.240
212,class3,185.42.204.4
213,class2,99.181.66.4
214,class4,99.181.67.213
215,class3,52.223.195.82
216,class2,185.42.204.90
217,class3,52.223.195.172
218,class3,185.42.207.108
219,class1,99.181.65.252
220,class4,185.42.204.169
221,class4,52.223.195.192
222,class0,52.223.200.80
223,class4,52.223.195.67
224,class4,185.42.207.171
225,class2,185.42.207.57
226,class3,52.223.195.127
227,class3,52.223.195.204
228,class0,52.223.200.138
229,class3,185.42.205.230
230,class3,52.223.200.171
231,class4,99.181.65.185
232,class1,52.223.200.36
233,class3,185.42.207.178
234,class2,99.181.67.183
235,class4,185.42.205.197
236,class3,185.42.205.210
237,class0,99.181.65.250
238,class0,185.42.206.56
239,class0,52.223.195.118
240,class2,52.223.195.48
241,class1,52.223.200.100
242,class3,185.42.205.207
243,class2,52.223.195.4
244,class1,52.223.195.87
245,class0,185.42.205.176
246,class3,99.181.67.214
247,class4,185.42.204.102
248,class1,99.181.65.162
249,class1,99.181.65.208
250,class2,99.181.66.181
251,class3,185.42.205.25
252,class0,99.181.66.48
253,class1,185.42.205.186
254,class0,99.181.66.164
255,class2,99.181.67.177
256,class3,99.181.65.205
257,class1,99.181.66.60
258,class1,52.223.200.115
259,class1,52.223.195.215
260,class1,52.223.200.135
261,class1,185.42.207.90
262,class2,52.223.195.142
263,class2,185.42.207.104
264,class1,99.181.66.184
265,class1,185.42.205.62
266,class1,99.181.66.53
267,class0,185.42.205.159
268,class2,185.42.205.177
269,class4,99.181.67.254
270,class1,185.42.207.206
271,class3,52.223.195.150
272,class3,99.181.64.29
273,class1,185.42.204.111
274,class4,52.223.200.126
275,class1,52.223.195.232
276,class1,99.181.65.247
277,class4,185.42.205.142
278,class2,185.42.205.147
279,class3,99.181.67.134
280,class3,99.181.67.223
281,class3,185.42.204.197
282,class1,185.42.205.115
283,class3,99.181.66.23
284,class3,185.42.204.184
285,class0,99.181.65.181
286,class2,185.42.207.235
287,class4,185.42.205.48
288,class1,185.42.205.181
289,class2,99.181.65.238
290,class3,99.181.67.242
291,class4,99.181.67.248
292,class0,185.42.207.243
293,class3,99.181.67.132
294,class1,99.181.67.174
295,class0,185.42.205.245
296,class2,185.42.205.204
297,class2,99.181.65.200
298,class2,99.181.65.170
299,class2,185.42.205.190
300,class1,99.181.66.51
301,class1,185.42.204.48
302,class3,52.223.195.79
303,class4,185.42.207.59
304,class1,99.181.65.141
305,class4,185.42.207.58
306,class0,185.42.205.192
307,class1,52.223.200.190
308,class1,185.42.205.199
309,class0,185.42.207.245
310,class4,185.42.204.225
311,class1,185.42.205.120
312,class1,99.181.66.8
313,class1,185.42.205.61
314,class1,52.223.195.135
315,class0,99.181.66.18
316,class3,52.223.200.28
317,class2,185.42.205.16
318,class1,52.223.195.213
319,class4,99.181.66.49
320,class4,99.181.67.170
321,class4,99.181.66.231
322,class0,185.42.205.173
323,class2,99.181.65.213
324,class3,185.42.204.91
325,class4,185.42.205.36
326,class4,185.42.204.58
327,class3,185.42.205.93
328,class4,185.42.207.204
329,class4,185.42.204.141
330,class4,185.42.205.228
331,class3,185.42.207.212
332,class0,99.181.64.10
333,class0,185.42.204.106
334,class2,185.42.205.168
335,class1,99.181.67.222
336,class4,99.181.65.211
337,class4,185.42.204.17
338,class4,99.181.67.232
339,class0,185.42.204.61
340,class4,185.42.204.50
341,class0,99.181.64.42
342,class2,99.181.65.148
343,class2,52.223.200.186
344,class3,52.223.200.88
345,class0,185.42.204.32
346,class1,99.181.65.139
347,class3,99.181.66.22
348,class3,99.181.67.220
349,class2,52.223.197.233
350,class3,185.42.204.96
351,class1,52.223.195.83
352,class4,185.42.206.22
353,class3,185.42.205.101
354,class0,52.223.195.71
355,class2,185.42.205.174
356,class4,99.181.66.56
357,class1,185.42.205.44
358,class4,185.42.207.222
359,class4,185.42.205.150
360,class3,52.223.197.163
361,class1,99.181.66.188
362,class1,99.181.67.168
363,class0,185.42.205.200
364,class3,185.42.205.148
365,class1,99.181.65.210
366,class1,99.181.64.82
367,class4,185.42.205.100
368,class0,185.42.205.239
369,class1,185.42.205.203
370,class3,52.223.195.155
371,class4,185.42.205.9
372,class3,52.223.195.80
373,class1,99.181.66.41
374,class4,185.42.207.27
375,class3,185.42.204.95
376,class0,185.42.204.124
377,class0,185.42.205.88
378,class2,52.223.195.245
379,class1,52.223.200.90
380,class3,185.42.205.179
381,class1,185.42.204.5
382,class2,185.42.204.51
383,class1,99.181.65.174
384,class4,99.181.66.10
385,class4,185.42.207.211
386,class2,185.42.205.166
387,class0,185.42.205.108
388,class0,99.181.65.169
389,class1,185.42.205.229
390,class0,185.42.206.43
391,class1,99.181.65.245
392,class2,185.42.204.36
393,class2,99.181.65.154
394,class3,99.181.67.189
395,class2,185.42.205.201
396,class0,52.223.200.179
397,class2,52.223.195.154
398,class2,185.42.205.209
399,class0,185.42.205.254
400,class3,99.181.66.209
401,class1,52.223.195.253
402,class3,99.181.66.43
403,class4,52.223.195.188
404,class3,185.42.206.54
405,class2,99.181.66.189
406,class3,99.181.67.169
407,class0,185.42.204.52
408,class3,52.223.197.172
409,class4,185.42.206.11
410,class0,185.42.205.47
411,class4,99.181.66.29
412,class2,185.42.205.83
413,class4,185.42.206.23
414,class1,99.181.66.216
415,class3,185.42.204.103
416,class2,99.181.67.144
417,class0,185.42.204.137
418,class2,99.181.64.38
419,class4,185.42.204.27
420,class1,185.42.205.24
421,class4,185.42.207.251
422,class2,185.42.207.223
423,class1,52.223.200.152
424,class3,185.42.205.126
425,class3,99.181.65.224
426,class4,52.223.195.120
427,class3,185.42.205.224
428,class2,185.42.205.65
429,class2,185.42.205.111
430,class4,185.42.205.183
431,class3,185.42.205.21
432,class3,185.42.205.114
433,class4,99.181.67.118
434,class3,185.42.205.30
435,class4,185.42.205.188
436,class1,185.42.204.148
437,class3,99.181.65.199
438,class4,185.42.206.30
439,class4,99.181.65.138
440,class1,185.42.205.149
441,class4,185.42.205.43
442,class2,52.223.200.55
443,class2,99.181.66.31
444,class4,99.181.65.223
445,class1,99.181.66.171
446,class1,99.181.65.228
