,class,ip
0,class0,52.223.228.27
1,class5,52.223.228.62
2,class0,52.223.228.95
3,class3,52.223.227.232
4,class5,52.223.228.106
5,class4,52.223.228.7
6,class3,52.223.228.107
7,class2,52.223.228.90
8,class1,52.223.228.102
9,class2,52.223.228.8
10,class4,52.223.228.13
11,class5,52.223.228.98
12,class1,52.223.227.214
13,class4,52.223.228.17
14,class2,52.223.228.85
15,class3,52.223.227.241
16,class0,52.223.228.89
17,class4,52.223.228.97
18,class2,52.223.228.99
19,class1,52.223.228.123
20,class3,52.223.228.71
21,class5,52.223.228.110
22,class5,52.223.228.30
23,class4,52.223.228.9
24,class5,52.223.228.28
25,class3,52.223.228.125
26,class0,52.223.228.26
27,class4,52.223.228.19
28,class2,52.223.228.59
29,class1,99.181.96.118
30,class1,99.181.96.163
31,class2,99.181.96.189
32,class2,99.181.96.107
33,class1,99.181.96.156
34,class4,99.181.96.125
35,class3,99.181.96.111
36,class0,99.181.96.112
37,class3,52.223.226.70
38,class3,52.223.226.144
39,class5,52.223.226.96
40,class1,52.223.226.150
41,class0,52.223.226.102
42,class3,99.181.97.36
43,class1,192.16.65.161
44,class2,99.181.97.79
45,class1,52.223.226.73
46,class0,52.223.244.221
47,class5,52.223.226.149
48,class4,52.223.226.101
49,class2,52.223.226.104
50,class4,99.181.97.142
51,class4,99.181.97.112
52,class1,99.181.97.178
53,class3,52.223.244.209
54,class3,52.223.244.79
55,class0,99.181.97.111
56,class4,52.223.226.126
57,class1,99.181.97.100
58,class4,52.223.244.172
59,class2,192.16.65.112
60,class5,52.223.227.173
61,class3,52.223.227.28
62,class0,99.181.97.133
63,class1,52.223.226.112
64,class4,99.181.97.110
65,class2,52.223.226.81
66,class4,192.16.65.137
67,class0,52.223.244.38
68,class5,99.181.97.55
69,class5,192.16.65.6
70,class0,52.223.226.146
71,class0,52.223.227.169
72,class5,52.223.244.187
73,class0,192.16.65.118
74,class2,52.223.226.78
75,class1,192.16.65.101
76,class5,99.181.97.45
77,class2,192.16.65.171
78,class5,52.223.226.69
79,class2,99.181.97.62
80,class0,52.223.226.107
81,class5,99.181.97.53
82,class2,52.223.226.141
83,class0,192.16.65.158
84,class2,52.223.227.71
85,class2,192.16.65.20
86,class4,52.223.226.94
87,class4,52.223.226.108
88,class2,52.223.227.106
89,class4,99.181.97.99
90,class4,52.223.226.234
91,class0,99.181.97.105
92,class1,52.223.226.140
93,class3,192.16.65.40
94,class1,99.181.97.113
95,class4,52.223.226.124
96,class1,99.181.97.170
97,class0,99.181.97.57
98,class2,192.16.65.174
99,class2,52.223.227.107
100,class3,99.181.97.68
101,class0,52.223.244.33
102,class4,192.16.65.133
103,class0,52.223.226.74
104,class3,52.223.227.171
105,class4,99.181.97.176
106,class3,192.16.65.141
107,class4,52.223.244.254
108,class3,99.181.97.146
109,class4,52.223.226.76
110,class3,52.223.244.93
111,class3,99.181.97.155
