,n_cluster,label,S_Dbw
0,2,0,2.2310191775359898
1,2,1,2.2053136939530513
2,2,2,0.9723582854060681
3,2,3,2.1814175121529478
4,2,4,3.1081904133526086
5,2,5,2.1692058175975086
6,2,6,1.8890865557583894
7,2,7,4.120376331310645
8,2,8,2.0600574767568043
9,2,9,0.952079734480622
10,2,10,2.1202473518543474
11,2,11,3.5277803418140357
12,2,12,2.2311338607361413
13,2,13,1.9259130290797555
14,2,14,0.969751901156202
15,2,15,4.527993864614002
16,2,16,3.9819920090470875
17,2,17,3.4895097801183184
18,2,18,2.0892839399969545
19,2,19,2.1890782060951426
20,3,0,2.046081489825023
21,3,1,2.102202437535975
22,3,2,2.0837253803980715
23,3,3,2.072378196948761
24,3,4,2.154347210011646
25,3,5,3.182621193097433
26,3,6,1.9426069172663956
27,3,7,2.1875750447599636
28,3,8,2.7631810304215523
29,3,9,3.0347856072643977
30,3,10,2.046971304128742
31,3,11,2.9810992789464583
32,3,12,2.8101548266546157
33,3,13,2.799757529931581
34,3,14,1.986902138373503
35,3,15,1.990165302589378
36,3,16,2.0619835474068715
37,3,17,1.2749031013404035
38,3,18,2.9913711591959955
39,3,19,3.0592767272913415
40,4,0,1.8138706999331333
41,4,1,1.9288208948857748
42,4,2,2.7416473108903125
43,4,3,1.4153079705775078
44,4,4,1.519255169602555
45,4,5,2.125948243749979
46,4,6,2.6934095850253477
47,4,7,2.142395957113534
48,4,8,2.091027015008377
49,4,9,2.538784328155343
50,4,10,1.549327053704503
51,4,11,2.8758264585672095
52,4,12,2.2179980325625563
53,4,13,1.585667376220727
54,4,14,2.1325643193423325
55,4,15,1.5326711993476545
56,4,16,2.760453718160763
57,4,17,2.929415333637067
58,4,18,2.6992169931825307
59,4,19,2.2427479404412436
60,5,0,1.7749262766983693
61,5,1,1.5778062310289402
62,5,2,1.9518016665110633
63,5,3,2.033991668225269
64,5,4,1.9443249379808132
65,5,5,1.9032103510561273
66,5,6,2.1036698153777764
67,5,7,1.7844916026071886
68,5,8,1.686282740073766
69,5,9,1.928026637981134
70,5,10,1.8760531286256739
71,5,11,1.7751263969015696
72,5,12,2.745080062925826
73,5,13,2.282592409717946
74,5,14,2.098088257942257
75,5,15,2.26594730121718
76,5,16,2.307887595089521
77,5,17,1.7103507186121818
78,5,18,2.7400122514296283
79,5,19,1.7430299046804014
80,6,0,1.642000601436059
81,6,1,2.440665540722901
82,6,2,1.8767418652109504
83,6,3,1.5665289596874021
84,6,4,1.6340829082094404
85,6,5,2.152524270661153
86,6,6,1.6424000719722502
87,6,7,2.255926462091188
88,6,8,2.0448700464931626
89,6,9,1.6920388782677225
90,6,10,1.8438111432706865
91,6,11,1.9788239524856266
92,6,12,2.048356386739405
93,6,13,2.586098160481481
94,6,14,1.84983843973324
95,6,15,2.312075316026679
96,6,16,1.7168771292222844
97,6,17,1.6298482732403217
98,6,18,1.80946823555514
99,6,19,1.7108081557829
100,7,0,1.809322166719701
101,7,1,1.9652809520676566
102,7,2,1.5889944904760558
103,7,3,1.8157439956235897
104,7,4,1.8901134133405733
105,7,5,1.8537300308926974
106,7,6,1.7888110125055658
107,7,7,1.7864040881857703
108,7,8,1.8580365219198844
109,7,9,2.1108142393627656
110,7,10,1.8370723838115062
111,7,11,1.9046998067230123
112,7,12,2.286563488999126
113,7,13,1.8283404372969803
114,7,14,1.8856579730880376
115,7,15,1.7306134611770745
116,7,16,1.7734517129884606
117,7,17,1.6735229443919915
118,7,18,1.5312496983651458
119,7,19,2.1892799755004995
120,8,0,1.639065177991796
121,8,1,1.8361428696706719
122,8,2,1.6430647180054985
123,8,3,1.8940694628607198
124,8,4,1.8501995948106402
125,8,5,1.9242794588396985
126,8,6,1.7151892033677634
127,8,7,1.6857789683161855
128,8,8,1.95515989947258
129,8,9,2.0952313299713925
130,8,10,2.15886206289427
131,8,11,1.6434554744544554
132,8,12,1.473247986366168
133,8,13,1.7099287047839562
134,8,14,1.5240979350040567
135,8,15,1.778271883506065
136,8,16,1.753444988023301
137,8,17,1.6514987719832548
138,8,18,1.9154734416593469
139,8,19,1.6589780440169626
